 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  268.3      160384     169832    1000000     27174      785927     13279      696207      1659      466915      378       380400       13       326586       12       326076       10       321236       7        304038       2        228821  
  270.0      171619     168868    1000000     27250      787839     13274      697527      1664      467385      404       383116       11       325820       11       325820       9        320549       6        295894       1        171619  
  271.7      147969     168737    1000000     27143      786997     13352      697773      1677      468213      405       381903       10       325746       10       325746       8        320833       6        309117       2        221849  
  273.3      176602     168971    1000000     27302      786704     13277      696128      1692      470171      423       384621       12       325676       12       325676       9        318775       6        302091       1        176602  
  275.0      73144      169395    1000000     27395      786548     13328      695645      1683      468460      418       384107       17       325649       16       324907       14       319720       10       294300       3        175904  
  276.7      106493     169704    1000000     27069      785375     13241      696141      1675      468752      421       384774       15       325878       15       325878       12       316688       8        291960       1        106493  
  278.3      217669     169755    1000000     27277      785755     13326      695514      1598      462406      384       380201       13       325363       13       325363       11       320119       6        279914       1        217669  
  280.0      142035     169227    1000000     27193      786395     13258      696323      1715      469503      384       379825       14       325889       13       325225       10       318497       7        298365       2        195242  
  281.7      147274     169387    1000000     27409      786700     13388      696317      1690      465029      405       379283       13       324145       13       324145       11       319444       8        301185       1        147274  
  283.3      148934     169784    1000000     27055      785239     13298      696169      1627      464590      421       382885       13       324633       13       324633       11       319574       7        294169       2        202226  
  285.0      215897     170083    1000000     27312      785486     13284      694862      1639      465067      405       381135       13       324397       13       324397       9        316811       6        298869       1        215897  
  286.7      151880     169825    1000000     27287      785636     13234      695231      1694      468251      408       382653       15       324642       15       324642       12       318968       7        286300       2        205000  
  288.3      201770     169375    1000000     27257      786138     13294      695662      1575      462234      402       382908       11       325203       11       325203       9        322511       7        309782       1        201770  
  290.0      124523     169492    1000000     27047      786296     13277      697063      1662      468952      415       384112       15       325692       15       325692       12       316698       9        294928       1        124523  
  291.7      102525     169638    1000000     27198      786174     13363      696724      1660      464996      381       378374       15       325364       15       325364       12       319393       7        283134       2        170969  
  293.3      98948      170413    1000000     27264      785354     13296      695479      1658      467178      400       382734       11       326288       11       326288       10       325151       7        303606       2        178458  
  295.0      223717     169553    1000000     27088      785110     13284      695983      1606      464968      395       383913       9        326052       9        326052       7        321382       4        299914       1        223717  
  296.7      210497     170228    1000000     27122      784584     13278      695275      1663      465990      407       380960       12       324915       12       324915       9        318022       5        289543       1        210497  
  298.3      73940      169884    1000000     27129      784941     13298      695790      1614      465314      408       383599       14       326008       14       326008       11       319892       7        292441       2        147392  
  300.0      110261     170335    1000000     27390      784909     13232      693798      1597      462888      394       382436       11       326239       11       326239       9        323671       7        311086       2        183876  
  301.7      187964     169917    1000000     27115      785334     13370      696389      1632      464321      390       380789       12       325606       12       325606       11       322180       6        287090       1        187964  
  303.3      203703     170629    1000000     27640      784717     13531      693732      1547      457099      389       378831       12       324752       11       324186       10       319808       5        282706       1        203703  
  305.0      180929     169943    1000000     27544      786087     13267      693903      1636      463706      389       379910       15       326723       14       326195       12       321019       8        293450       1        180929  
  306.7      177624     170456    1000000     27211      784455     13389      695167      1607      461654      385       379217       15       326346       14       325821       11       319418       8        297051       1        177624  
