 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   9.1       43764      12894      100000      150       84062        9        83249        3        83181        3        83181        3        83181        3        83181        2        78588        2        78588        0          0     
   9.2       43679      13068      100000      161       83734        14       82882        3        82752        3        82752        3        82752        3        82752        2        78592        2        78592        0          0     
   9.3       43826      13347      100000      162       83459        12       82562        3        82463        3        82463        3        82463        3        82463        2        78624        2        78624        0          0     
   9.4       43989      13389      100000      153       83459        12       82645        3        82543        3        82543        3        82543        3        82543        2        78878        2        78878        0          0     
   9.5       44028      13095      100000      161       83647        6        82752        3        82716        3        82716        3        82716        3        82716        2        79086        2        79086        0          0     
   9.6       44393      12952      100000      149       83978        6        83161        3        83126        3        83126        3        83126        3        83126        2        79637        2        79637        0          0     
   9.7       44458      12924      100000      155       83958        6        83097        3        83066        3        83066        3        83066        3        83066        2        79776        2        79776        0          0     
   9.8       44585      13003      100000      155       83938        4        83069        3        83058        3        83058        3        83058        3        83058        2        80111        2        80111        0          0     
   9.9       44599      13063      100000      146       83742        11       82959        3        82867        3        82867        3        82867        3        82867        2        80135        2        80135        0          0     
   10.0      44610      13032      100000      168       83839        15       82958        3        82833        3        82833        3        82833        3        82833        2        80291        2        80291        0          0     
   10.1      44702      13179      100000      149       83606        8        82796        3        82739        3        82739        3        82739        3        82739        2        80538        2        80538        0          0     
   10.2      44852      13137      100000      162       83645        11       82777        3        82676        3        82676        3        82676        3        82676        2        80818        2        80818        0          0     
   10.3      44965      13185      100000      179       83699        11       82704        3        82615        3        82615        3        82615        3        82615        2        81163        2        81163        0          0     
   10.4      45068      13258      100000      163       83530        15       82661        3        82528        3        82528        3        82528        2        81539        2        81539        2        81539        0          0     
   10.5      45146      13333      100000      139       83366        7        82595        3        82544        3        82544        3        82544        2        81881        2        81881        2        81881        0          0     
   10.6      45432      13186      100000      182       83517        16       82575        4        82431        2        82279        2        82279        2        82279        2        82279        2        82279        0          0     
   10.7      45592      13184      100000      180       83556        13       82613        2        82484        2        82484        2        82484        2        82484        2        82484        2        82484        0          0     
   10.8      45803      13266      100000      134       83536        6        82794        2        82750        2        82750        2        82750        2        82750        2        82750        2        82750        0          0     
   10.9      46008      12895      100000      138       84060        11       83322        2        83219        2        83219        2        83219        2        83219        2        83219        2        83219        0          0     
   11.0      46223      12698      100000      125       84389        7        83694        2        83642        2        83642        2        83642        2        83642        2        83642        2        83642        0          0     
