             tauB                            r                             g(r)             
           100.000                         4.384                          0.988             
           100.000                         4.390                          0.994             
           100.000                         4.395                          0.986             
           100.000                         4.400                          1.004             
           100.000                         4.405                          1.010             
           100.000                         4.411                          0.998             
           100.000                         4.416                          1.003             
           100.000                         4.421                          1.015             
           100.000                         4.426                          1.017             
           100.000                         4.432                          0.991             
           100.000                         4.437                          0.991             
           100.000                         4.442                          0.994             
           100.000                         4.447                          1.000             
           100.000                         4.453                          0.993             
           100.000                         4.458                          1.000             
           100.000                         4.463                          1.009             
           100.000                         4.468                          1.015             
           100.000                         4.474                          0.979             
           100.000                         4.479                          1.012             
           100.000                         4.484                          0.982             
           100.000                         4.489                          0.990             
           100.000                         4.494                          0.986             
           100.000                         4.500                          0.998             
           100.000                         4.505                          0.984             
           100.000                         4.510                          1.003             
           100.000                         4.515                          1.020             
           100.000                         4.521                          0.984             
           100.000                         4.526                          1.000             
           100.000                         4.531                          1.000             
           100.000                         4.536                          0.998             
           100.000                         4.542                          1.013             
           100.000                         4.547                          1.005             
           100.000                         4.552                          0.999             
           100.000                         4.557                          1.005             
           100.000                         4.563                          1.005             
           100.000                         4.568                          0.989             
           100.000                         4.573                          1.026             
           100.000                         4.578                          0.999             
           100.000                         4.584                          1.010             
           100.000                         4.589                          0.978             
           100.000                         4.594                          1.046             
           100.000                         4.599                          1.013             
           100.000                         4.605                          1.005             
           100.000                         4.610                          0.994             
           100.000                         4.615                          1.030             
           100.000                         4.620                          1.016             
           100.000                         4.626                          1.006             
           100.000                         4.631                          1.022             
           100.000                         4.636                          1.004             
           100.000                         4.641                          1.019             
           100.000                         4.646                          1.004             
           100.000                         4.652                          1.007             
           100.000                         4.657                          0.995             
           100.000                         4.662                          1.010             
