           rCoM                     NinBin                      NA                        NB                      phiLoc                    align                      pInt                     pSwim          
        342.983175                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        344.107710                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        345.232245                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        346.356780                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        347.481315                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        348.605850                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        349.730385                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        350.854920                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        351.979455                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        353.103990                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        354.228525                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        355.353060                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        356.477595                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        357.602130                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        358.726665                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        359.851200                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        360.975735                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        362.100270                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        363.224805                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        364.349340                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        365.473875                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        366.598410                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        367.722945                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        368.847480                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        369.972015                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        371.096550                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        372.221085                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        373.345620                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        374.470155                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        375.594690                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        376.719225                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        377.843760                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
