           tauB                     NinLC                      phiL          
          39.10                     72908                    0.22543                   1.99099         
          39.20                     72833                    0.22544                   1.99183         
          39.30                     72670                    0.22600                   1.99008         
          39.40                     72356                    0.22834                   1.99960         
          39.50                     72293                    0.22892                   2.00801         
          39.60                     72348                    0.22773                   2.01117         
          39.70                     72392                    0.22765                   2.01251         
          39.80                     72197                    0.22843                   2.01891         
          39.90                     72273                    0.22733                   2.01481         
          40.00                     72359                    0.22602                   2.01430         
          40.10                     72381                    0.22734                   2.01703         
          40.20                     72619                    0.22701                   2.01154         
          40.30                     72662                    0.22516                   2.01158         
          40.40                     72894                    0.22408                   2.00701         
          40.50                     73013                    0.22348                   2.00197         
          40.60                     73004                    0.22345                   2.00166         
          40.70                     72987                    0.22413                   2.00246         
          40.80                     73018                    0.22315                   2.00388         
          40.90                     72840                    0.22471                   2.00439         
          41.00                     72912                    0.22446                   2.00113         
          41.10                     72776                    0.22566                   2.00338         
          41.20                     72734                    0.22504                   2.00467         
          41.30                     72796                    0.22537                   2.00023         
          41.40                     72806                    0.22575                   2.00091         
          41.50                     72765                    0.22575                   2.00118         
          41.60                     72530                    0.22696                   2.00350         
          41.70                     72385                    0.22834                   2.00713         
          41.80                     72252                    0.22882                   2.01056         
          41.90                     72399                    0.22659                   2.00585         
          42.00                     72213                    0.22880                   2.00277         
          42.10                     72157                    0.22859                   2.00155         
          42.20                     72292                    0.22908                   1.99892         
          42.30                     72426                    0.22781                   1.99547         
          42.40                     72330                    0.22834                   2.00236         
          42.50                     72420                    0.22723                   2.00367         
          42.60                     72306                    0.22817                   2.00609         
          42.70                     72148                    0.22896                   2.01039         
          42.80                     72333                    0.22777                   2.00594         
          42.90                     72133                    0.23022                   2.00961         
          43.00                     72193                    0.22786                   2.00720         
          43.10                     72250                    0.22878                   2.00642         
          43.20                     72157                    0.23043                   2.00822         
          43.30                     71914                    0.23156                   2.01498         
          43.40                     71968                    0.22941                   2.01630         
          43.50                     72184                    0.22894                   2.01800         
          43.60                     72456                    0.22661                   2.01425         
          43.70                     72545                    0.22662                   2.00952         
          43.80                     72629                    0.22634                   2.00873         
          43.90                     72309                    0.22855                   2.01439         
          44.00                     72330                    0.22832                   2.01608         
          44.10                     72227                    0.22808                   2.01645         
          44.20                     72200                    0.22853                   2.01437         
          44.30                     72388                    0.22743                   2.01267         
          44.40                     72647                    0.22531                   2.00867         
          44.50                     72903                    0.22409                   2.00055         
          44.60                     73043                    0.22291                   1.99688         
          44.70                     73090                    0.22320                   1.99779         
          44.80                     73158                    0.22355                   1.99586         
          44.90                     73306                    0.22080                   1.99177         
          45.00                     72957                    0.22508                   1.99486         
          45.10                     72879                    0.22481                   1.99298         
          45.20                     72769                    0.22476                   1.99206         
          45.30                     72577                    0.22727                   1.99526         
          45.40                     72308                    0.22841                   2.00046         
          45.50                     72161                    0.22896                   2.00201         
          45.60                     72052                    0.23049                   2.00395         
          45.70                     72087                    0.22812                   2.00544         
          45.80                     72174                    0.22983                   2.00202         
          45.90                     72232                    0.22869                   2.00686         
          46.00                     72462                    0.22709                   2.00854         
          46.10                     72583                    0.22591                   2.00888         
          46.20                     72747                    0.22477                   2.00692         
          46.30                     72905                    0.22453                   2.00369         
          46.40                     72646                    0.22503                   2.00395         
          46.50                     72362                    0.22849                   2.00749         
          46.60                     72272                    0.22882                   2.00981         
          46.70                     72281                    0.22820                   2.01081         
          46.80                     72383                    0.22761                   2.00739         
          46.90                     72423                    0.22818                   2.01114         
          47.00                     72481                    0.22699                   2.00972         
          47.10                     72513                    0.22686                   2.00805         
          47.20                     72527                    0.22680                   2.00406         
          47.30                     72767                    0.22485                   2.00248         
          47.40                     72836                    0.22519                   1.99950         
          47.50                     72877                    0.22492                   2.00256         
          47.60                     73012                    0.22451                   1.99935         
          47.70                     72821                    0.22480                   2.00763         
          47.80                     72935                    0.22386                   2.00555         
          47.90                     73034                    0.22325                   2.00273         
          48.00                     72971                    0.22487                   2.00175         
          48.10                     73181                    0.22204                   2.00041         
          48.20                     72880                    0.22507                   2.00249         
          48.30                     73105                    0.22314                   1.99795         
          48.40                     73005                    0.22374                   1.99956         
          48.50                     72922                    0.22327                   2.00129         
          48.60                     72857                    0.22508                   2.00338         
          48.70                     72940                    0.22399                   2.00217         
          48.80                     72790                    0.22535                   2.00358         
          48.90                     72809                    0.22530                   2.00370         
          49.00                     73117                    0.22362                   1.99941         
          49.10                     73042                    0.22486                   2.00066         
          49.20                     73062                    0.22327                   2.00060         
          49.30                     73055                    0.22417                   2.00227         
          49.40                     72937                    0.22450                   2.00979         
          49.50                     73012                    0.22358                   2.01426         
          49.60                     73103                    0.22193                   2.01474         
          49.70                     73129                    0.22281                   2.00964         
          49.80                     73156                    0.22352                   2.00126         
          49.90                     73108                    0.22318                   1.99754         
          50.00                     73016                    0.22323                   1.99281         
          50.10                     73022                    0.22368                   1.98613         
          50.20                     72796                    0.22642                   1.97739         
          50.30                     72461                    0.22828                   1.98253         
          50.40                     72230                    0.23039                   1.99325         
          50.50                     72209                    0.22967                   2.00103         
          50.60                     72210                    0.22868                   2.00566         
          50.70                     72299                    0.22831                   2.00346         
          50.80                     72212                    0.22941                   2.00570         
          50.90                     72085                    0.22910                   2.01069         
          51.00                     72200                    0.23003                   2.00407         
          51.10                     72332                    0.22833                   1.99942         
          51.20                     72378                    0.22783                   1.99871         
          51.30                     72463                    0.22776                   1.99865         
          51.40                     72596                    0.22683                   1.99598         
          51.50                     72703                    0.22558                   1.99316         
          51.60                     72609                    0.22639                   1.99177         
          51.70                     72476                    0.22797                   1.99368         
          51.80                     72554                    0.22715                   1.98934         
          51.90                     72654                    0.22652                   1.98628         
          52.00                     72544                    0.22677                   1.98843         
          52.10                     72547                    0.22772                   1.99172         
          52.20                     72759                    0.22502                   1.99349         
          52.30                     72780                    0.22564                   1.98941         
          52.40                     72659                    0.22636                   1.98426         
          52.50                     72416                    0.22867                   1.98625         
          52.60                     72001                    0.23095                   1.98907         
          52.70                     71747                    0.23246                   1.99323         
          52.80                     71582                    0.23269                   1.99782         
          52.90                     71761                    0.23140                   1.99665         
          53.00                     71754                    0.23232                   2.00187         
          53.10                     71975                    0.23017                   1.99826         
          53.20                     71858                    0.23115                   1.99760         
          53.30                     71928                    0.23146                   1.99691         
          53.40                     71954                    0.23014                   2.00174         
          53.50                     72152                    0.22859                   2.00298         
          53.60                     72218                    0.22817                   2.00457         
          53.70                     72449                    0.22821                   2.00483         
          53.80                     72626                    0.22678                   2.00244         
          53.90                     72631                    0.22622                   2.00552         
          54.00                     72787                    0.22495                   2.00687         
          54.10                     72947                    0.22431                   2.00301         
          54.20                     72987                    0.22562                   1.99749         
          54.30                     73124                    0.22361                   1.99416         
          54.40                     72889                    0.22473                   1.99143         
          54.50                     72651                    0.22668                   1.99422         
          54.60                     72355                    0.22917                   2.00130         
          54.70                     72310                    0.22938                   2.00401         
          54.80                     72195                    0.22863                   2.00730         
          54.90                     72087                    0.22909                   2.00743         
          55.00                     72218                    0.22931                   2.00569         
          55.10                     72250                    0.22919                   2.00550         
          55.20                     72318                    0.22828                   2.00809         
          55.30                     72564                    0.22675                   2.00630         
          55.40                     72734                    0.22691                   1.99622         
          55.50                     72683                    0.22666                   1.99576         
          55.60                     72719                    0.22644                   1.99376         
          55.70                     72647                    0.22586                   1.99461         
          55.80                     72623                    0.22686                   1.99685         
          55.90                     72454                    0.22808                   2.00366         
          56.00                     72646                    0.22619                   2.00295         
          56.10                     72676                    0.22529                   2.00722         
          56.20                     72905                    0.22432                   2.00395         
          56.30                     73043                    0.22331                   2.00060         
          56.40                     73287                    0.22120                   1.99469         
          56.50                     72948                    0.22431                   1.99627         
          56.60                     72969                    0.22439                   1.99402         
          56.70                     73017                    0.22532                   1.99779         
          56.80                     73346                    0.22156                   1.98896         
          56.90                     73348                    0.22210                   1.98380         
          57.00                     73377                    0.22317                   1.98638         
          57.10                     73396                    0.22295                   1.98636         
          57.20                     73316                    0.22184                   1.98213         
          57.30                     73010                    0.22582                   1.98467         
          57.40                     72756                    0.22617                   1.99180         
          57.50                     72725                    0.22588                   1.99908         
          57.60                     72592                    0.22756                   2.00408         
          57.70                     72527                    0.22687                   2.00825         
          57.80                     72793                    0.22485                   2.00734         
          57.90                     72786                    0.22460                   2.00442         
          58.00                     72597                    0.22673                   2.00761         
          58.10                     72425                    0.22720                   2.00742         
          58.20                     72664                    0.22561                   2.00326         
          58.30                     72732                    0.22618                   2.00256         
          58.40                     72937                    0.22405                   1.99907         
          58.50                     73039                    0.22391                   1.99683         
          58.60                     72943                    0.22486                   1.99943         
          58.70                     73007                    0.22390                   2.00124         
          58.80                     73086                    0.22295                   1.99908         
          58.90                     73130                    0.22310                   1.99928         
          59.00                     72987                    0.22429                   1.99669         
          59.10                     72893                    0.22441                   1.99439         
          59.20                     72774                    0.22508                   1.99886         
          59.30                     72608                    0.22706                   1.99733         
          59.40                     72518                    0.22720                   1.99280         
          59.50                     72472                    0.22752                   1.99182         
          59.60                     72266                    0.22818                   1.99372         
          59.70                     71997                    0.23140                   1.99760         
          59.80                     71984                    0.23144                   1.99987         
          59.90                     72250                    0.22911                   1.99557         
          60.00                     72187                    0.23009                   1.99439         
          60.10                     72570                    0.22724                   1.98788         
          60.20                     72568                    0.22591                   1.99061         
          60.30                     72394                    0.22761                   1.99527         
          60.40                     72055                    0.23068                   1.99962         
          60.50                     71769                    0.23131                   2.00949         
          60.60                     71869                    0.23089                   2.01175         
          60.70                     72101                    0.22940                   2.01063         
          60.80                     72428                    0.22673                   2.00813         
          60.90                     72463                    0.22686                   2.00642         
          61.00                     72324                    0.22717                   2.00669         
          61.10                     72314                    0.22774                   2.00759         
          61.20                     72631                    0.22592                   2.00308         
          61.30                     72843                    0.22582                   1.99514         
          61.40                     73054                    0.22409                   1.98726         
          61.50                     73047                    0.22407                   1.98518         
          61.60                     73056                    0.22372                   1.98432         
          61.70                     72764                    0.22660                   1.98840         
          61.80                     72681                    0.22627                   1.99580         
          61.90                     72753                    0.22636                   1.99564         
          62.00                     72825                    0.22540                   1.99479         
          62.10                     72632                    0.22627                   1.99905         
          62.20                     72502                    0.22768                   1.99805         
          62.30                     72487                    0.22775                   2.00152         
          62.40                     72265                    0.22786                   2.00625         
          62.50                     72306                    0.22763                   2.01121         
          62.60                     72175                    0.22828                   2.01345         
          62.70                     72093                    0.22942                   2.01334         
          62.80                     71978                    0.23140                   2.01379         
          62.90                     72209                    0.22881                   2.00401         
          63.00                     72158                    0.22891                   1.99644         
          63.10                     72054                    0.23005                   1.99294         
          63.20                     72000                    0.23076                   1.99225         
