           tauB                     NinLC                      phiL          
          39.40                     64713                    0.19388                   1.32205         
          39.50                     64676                    0.19641                   1.32380         
          39.60                     64568                    0.19578                   1.32763         
          39.70                     64760                    0.19378                   1.32725         
          39.80                     64807                    0.19535                   1.33039         
          39.90                     64922                    0.19375                   1.33164         
          40.00                     65058                    0.19562                   1.33062         
          40.10                     64953                    0.19641                   1.33347         
          40.20                     65051                    0.19388                   1.33269         
          40.30                     65184                    0.19328                   1.33290         
          40.40                     65285                    0.19166                   1.33346         
          40.50                     65409                    0.19149                   1.33230         
          40.60                     65414                    0.19105                   1.33432         
          40.70                     65624                    0.19117                   1.33141         
          40.80                     65697                    0.19061                   1.33055         
          40.90                     65758                    0.18852                   1.32908         
          41.00                     65760                    0.18886                   1.33045         
          41.10                     65790                    0.18966                   1.33153         
          41.20                     65915                    0.18852                   1.33323         
          41.30                     65939                    0.19089                   1.33339         
          41.40                     66133                    0.18770                   1.33170         
          41.50                     66152                    0.18688                   1.32989         
          41.60                     66364                    0.18564                   1.32566         
          41.70                     66431                    0.18733                   1.32310         
          41.80                     66193                    0.18981                   1.32515         
          41.90                     66160                    0.19027                   1.32367         
          42.00                     66226                    0.19259                   1.32234         
          42.10                     66118                    0.19268                   1.32302         
          42.20                     66091                    0.19223                   1.32706         
          42.30                     66177                    0.19289                   1.32893         
          42.40                     66353                    0.19144                   1.32980         
          42.50                     66441                    0.19177                   1.33135         
          42.60                     66642                    0.19196                   1.33105         
          42.70                     66692                    0.19213                   1.33070         
          42.80                     66802                    0.19150                   1.33161         
          42.90                     66977                    0.19160                   1.33062         
          43.00                     67119                    0.18890                   1.32963         
          43.10                     67340                    0.18735                   1.32957         
          43.20                     67486                    0.18595                   1.32966         
          43.30                     67449                    0.18886                   1.33274         
          43.40                     67581                    0.18917                   1.33293         
          43.50                     67706                    0.18724                   1.33248         
          43.60                     67843                    0.18811                   1.32968         
          43.70                     67860                    0.19001                   1.32945         
          43.80                     68030                    0.18837                   1.32853         
          43.90                     68036                    0.18824                   1.32993         
          44.00                     68003                    0.18836                   1.33146         
          44.10                     68178                    0.18862                   1.33117         
          44.20                     68328                    0.18894                   1.32972         
          44.30                     68350                    0.18956                   1.32947         
          44.40                     68361                    0.18928                   1.33056         
          44.50                     68485                    0.18905                   1.33046         
          44.60                     68594                    0.18683                   1.32914         
          44.70                     68546                    0.18927                   1.33070         
          44.80                     68615                    0.18887                   1.32971         
          44.90                     68525                    0.19125                   1.33023         
          45.00                     68701                    0.19023                   1.32889         
          45.10                     68995                    0.18847                   1.32655         
          45.20                     69039                    0.18921                   1.32475         
          45.30                     69092                    0.19012                   1.32011         
          45.40                     68974                    0.19253                   1.32000         
          45.50                     68907                    0.19111                   1.32189         
          45.60                     68991                    0.18952                   1.32458         
          45.70                     68945                    0.19026                   1.32662         
          45.80                     69049                    0.18876                   1.32802         
          45.90                     69113                    0.18807                   1.33072         
          46.00                     69166                    0.18727                   1.33255         
          46.10                     69068                    0.18874                   1.33721         
