           tauB                     NinLC                      phiL          
          40.80                     55065                    0.57876                   0.62585         
          40.90                     53926                    0.57855                   0.62771         
          41.00                     16050                    0.57987                   0.63949         
          41.10                     61912                    0.58018                   0.62184         
          41.20                     15932                    0.57964                   0.61835         
          41.30                     41844                    0.58269                   0.62220         
          41.40                     20226                    0.57924                   0.62711         
          41.50                     24848                    0.57973                   0.62339         
          41.60                     37000                    0.57940                   0.62488         
          41.70                     40590                    0.58102                   0.62527         
          41.80                     26163                    0.57899                   0.62018         
          41.90                     25556                    0.57945                   0.62553         
          42.00                     23786                    0.57952                   0.62844         
          42.10                     45463                    0.58035                   0.62666         
          42.20                     64808                    0.57859                   0.62144         
          42.30                     50335                    0.58016                   0.62538         
          42.40                     46780                    0.57984                   0.62602         
          42.50                     50525                    0.57872                   0.62568         
          42.60                     48220                    0.57980                   0.62712         
          42.70                     40751                    0.58078                   0.62494         
          42.80                     34125                    0.57964                   0.62428         
          42.90                     53837                    0.57843                   0.62423         
          43.00                     19775                    0.58130                   0.61916         
          43.10                     30855                    0.58247                   0.62238         
          43.20                     36853                    0.57867                   0.62729         
          43.30                     22989                    0.57974                   0.62706         
          43.40                     20672                    0.57934                   0.63012         
          43.50                     43504                    0.58003                   0.62413         
          43.60                     61552                    0.57951                   0.62238         
          43.70                     54514                    0.58052                   0.62202         
          43.80                     23834                    0.58078                   0.62697         
          43.90                     18133                    0.57945                   0.62531         
          44.00                     22519                    0.58082                   0.62600         
          44.10                     48682                    0.57854                   0.62235         
          44.20                     46943                    0.58054                   0.62250         
          44.30                     17223                    0.58051                   0.62864         
          44.40                     28838                    0.57999                   0.62860         
          44.50                     54684                    0.57912                   0.62369         
          44.60                     52068                    0.57963                   0.62584         
          44.70                     59703                    0.57799                   0.62438         
          44.80                     57607                    0.57775                   0.62298         
          44.90                     58038                    0.57887                   0.62284         
          45.00                     21796                    0.57994                   0.63062         
          45.10                     37868                    0.58059                   0.62959         
          45.20                     21834                    0.57790                   0.61906         
          45.30                     46253                    0.57836                   0.63221         
          45.40                     44657                    0.57830                   0.63353         
          45.50                     49845                    0.57937                   0.62966         
          45.60                     45809                    0.57603                   0.63017         
          45.70                     49078                    0.57837                   0.63128         
          45.80                     46367                    0.57675                   0.63084         
          45.90                     45249                    0.57858                   0.63271         
          46.00                     39358                    0.57883                   0.63496         
          46.10                     50906                    0.57734                   0.62688         
          46.20                     39312                    0.57758                   0.63267         
          46.30                     29613                    0.57857                   0.63509         
          46.40                     26552                    0.57883                   0.63929         
          46.50                     29171                    0.57838                   0.63736         
          46.60                     41013                    0.57852                   0.62698         
          46.70                     52731                    0.57689                   0.62843         
          46.80                     38218                    0.57726                   0.63762         
          46.90                     57796                    0.57622                   0.62840         
          47.00                     34084                    0.57748                   0.63212         
          47.10                     53257                    0.57846                   0.62673         
          47.20                     23220                    0.57895                   0.63331         
          47.30                     59238                    0.57890                   0.62441         
          47.40                     23748                    0.57576                   0.63336         
          47.50                     20802                    0.57856                   0.63579         
          47.60                     34135                    0.58196                   0.62894         
          47.70                     46352                    0.57954                   0.62716         
          47.80                     23516                    0.57777                   0.62451         
          47.90                     36567                    0.57954                   0.63054         
          48.00                     34405                    0.58027                   0.63116         
          48.10                     18353                    0.57981                   0.62861         
          48.20                     13761                    0.58185                   0.62349         
          48.30                     47415                    0.58219                   0.62529         
          48.40                     48941                    0.58154                   0.62069         
          48.50                     43899                    0.58185                   0.62208         
          48.60                     41794                    0.57984                   0.62614         
          48.70                     45870                    0.57808                   0.62220         
          48.80                     49652                    0.58360                   0.62152         
          48.90                     41441                    0.58228                   0.61659         
          49.00                     37024                    0.58150                   0.62531         
          49.10                     46723                    0.58019                   0.61995         
          49.20                     45067                    0.58011                   0.62502         
          49.30                     27336                    0.58121                   0.63083         
          49.40                     53689                    0.57842                   0.62507         
          49.50                     43259                    0.58029                   0.63060         
          49.60                     46553                    0.57813                   0.63000         
          49.70                     48235                    0.58075                   0.62232         
          49.80                     22774                    0.58325                   0.61947         
          49.90                     43490                    0.58083                   0.62651         
