             tauB                            r                             g(r)             
           100.000                         3.001                          3.311             
           100.000                         3.006                          3.279             
           100.000                         3.011                          3.194             
           100.000                         3.017                          3.147             
           100.000                         3.022                          3.096             
           100.000                         3.027                          3.044             
           100.000                         3.032                          2.947             
           100.000                         3.038                          2.930             
           100.000                         3.043                          2.798             
           100.000                         3.048                          2.791             
           100.000                         3.053                          2.680             
           100.000                         3.058                          2.674             
           100.000                         3.064                          2.672             
           100.000                         3.069                          2.619             
           100.000                         3.074                          2.582             
           100.000                         3.079                          2.621             
           100.000                         3.085                          2.513             
           100.000                         3.090                          2.528             
           100.000                         3.095                          2.495             
           100.000                         3.100                          2.506             
           100.000                         3.106                          2.525             
           100.000                         3.111                          2.520             
           100.000                         3.116                          2.515             
           100.000                         3.121                          2.585             
           100.000                         3.127                          2.490             
           100.000                         3.132                          2.580             
           100.000                         3.137                          2.516             
           100.000                         3.142                          2.507             
           100.000                         3.148                          2.539             
           100.000                         3.153                          2.520             
           100.000                         3.158                          2.457             
           100.000                         3.163                          2.389             
           100.000                         3.169                          2.407             
           100.000                         3.174                          2.382             
           100.000                         3.179                          2.336             
           100.000                         3.184                          2.294             
           100.000                         3.190                          2.255             
           100.000                         3.195                          2.237             
           100.000                         3.200                          2.197             
           100.000                         3.205                          2.176             
           100.000                         3.210                          2.139             
           100.000                         3.216                          2.113             
           100.000                         3.221                          2.076             
           100.000                         3.226                          2.026             
           100.000                         3.231                          2.064             
           100.000                         3.237                          2.024             
           100.000                         3.242                          2.053             
           100.000                         3.247                          2.024             
           100.000                         3.252                          2.079             
           100.000                         3.258                          2.075             
           100.000                         3.263                          2.055             
           100.000                         3.268                          2.152             
           100.000                         3.273                          2.152             
           100.000                         3.279                          2.231             
           100.000                         3.284                          2.234             
           100.000                         3.289                          2.290             
           100.000                         3.294                          2.446             
           100.000                         3.300                          2.491             
           100.000                         3.305                          2.610             
           100.000                         3.310                          2.689             
           100.000                         3.315                          2.758             
           100.000                         3.321                          2.825             
           100.000                         3.326                          2.942             
           100.000                         3.331                          3.005             
           100.000                         3.336                          3.084             
           100.000                         3.341                          3.119             
           100.000                         3.347                          3.180             
           100.000                         3.352                          3.265             
           100.000                         3.357                          3.253             
           100.000                         3.362                          3.381             
           100.000                         3.368                          3.333             
           100.000                         3.373                          3.323             
           100.000                         3.378                          3.403             
           100.000                         3.383                          3.337             
           100.000                         3.389                          3.363             
           100.000                         3.394                          3.352             
           100.000                         3.399                          3.395             
           100.000                         3.404                          3.376             
           100.000                         3.410                          3.371             
           100.000                         3.415                          3.285             
           100.000                         3.420                          3.291             
           100.000                         3.425                          3.337             
           100.000                         3.431                          3.264             
           100.000                         3.436                          3.247             
           100.000                         3.441                          3.187             
           100.000                         3.446                          3.138             
           100.000                         3.452                          3.096             
           100.000                         3.457                          3.058             
           100.000                         3.462                          3.009             
           100.000                         3.467                          2.905             
           100.000                         3.473                          2.921             
           100.000                         3.478                          2.827             
           100.000                         3.483                          2.799             
           100.000                         3.488                          2.695             
           100.000                         3.493                          2.665             
