 ALL 	  AA 	  AB 	  BB 
0.9981	0.9982	1.0014	1.0022
1.1012	0.9980	1.0023	0.9994
1.0127	1.0011	1.0000	1.0041
1.0288	1.0005	1.0012	0.9998
1.0049	0.9996	0.9993	0.9997
0.9991	1.0028	1.0006	0.9973
0.9988	1.0656	1.0009	1.0011
1.0057	1.0108	0.9989	1.0016
1.0007	1.0001	1.0003	0.9986
0.9979	1.1002	1.0053	0.9996
1.0004	0.9986	0.9995	1.0011
0.9983	0.9996	1.0021	1.0013
1.0000	0.9994	1.0024	0.9987
0.9962	1.0046	0.9993	0.9985
0.9933	1.0021	1.0006	1.0028
1.0002	1.0027	1.0002	1.0005
0.9996	1.0012	0.9983	1.0005
0.9990	1.0015	0.9988	0.9991
1.0005	0.9996	1.0024	1.0018
0.9989	0.9997	1.0021	0.9993
0.9998	1.0012	1.0002	1.0266
1.0057	1.0007	1.0029	1.0015
1.0004	0.9995	1.0014	0.9995
1.0014	0.9823	0.9994	0.9983
1.0023	1.0004	1.0012	1.0073
1.0000	0.9995	0.9995	1.0004
1.0012	0.9978	1.0010	0.9999
0.9993	1.0063	1.0014	0.9836
1.0006	0.9993	0.9989	1.0004
1.0009	1.0009	1.0035	1.0001
0.9990	1.0018	1.0001	0.9995
0.9989	0.9981	0.9997	0.9985
1.0003	0.9985	1.0017	1.0033
1.0053	1.0017	1.0025	1.0077
0.9995	1.0009	1.0014	1.0009
1.0021	0.9974	1.0009	0.9975
1.0024	1.0143	1.0115	0.9994
0.9993	0.9994	1.0043	1.0016
1.0006	1.0004	0.9997	1.0009
1.0002	0.9986	1.0001	0.9999
0.9983	1.0006	0.9995	1.0011
0.9988	1.0002	1.0010	1.0000
1.0024	0.9993	1.0012	0.9989
1.0021	1.0025	0.9999	1.0026
1.0002	1.0012	0.9988	1.0029
0.9975	1.0000	1.0015	0.9997
1.0029	1.0000	1.0000	0.9980
1.0014	1.0007	1.0007	1.0014
0.9994	0.9924	1.0014	1.0033
1.0012	0.9984	1.0010	0.9997
0.9995	1.0086	0.9997	1.0000
1.0010	0.9993	0.9975	1.0051
1.0026	1.0013	0.9989	0.9986
1.0014	0.9969	0.9996	1.0972
0.9989	1.0009	1.0009	0.9860
1.0035	1.0000	0.9982	0.9995
1.0001	0.9998	1.0014	1.0020
0.9997	1.0002	1.0017	1.0229
1.0017	0.9990	1.0001	1.0023
1.0025	1.0035	0.9985	1.0024
1.0014	1.0114	0.9982	0.9990
1.0009	1.0042	1.0000	1.0064
1.0115	1.0152	1.0007	1.0001
1.0043	1.0006	1.0002	1.0040
0.9997	1.0023	0.9999	1.0005
1.0001	1.0008	1.0016	1.0011
0.9995	1.0256	1.0009	1.0020
1.0010	1.0015	1.0009	1.0022
1.0012	0.9998	1.0006	1.0006
0.9999	1.0017	1.0007	1.0010
0.9988	1.0023	1.0005	0.9989
1.0015	1.0069	1.0038	1.0003
1.0000	0.9998	1.0004	0.9983
1.0007	1.0003	1.0010	1.0014
1.0014	1.0005	0.9985	1.0065
1.0010	0.9991	1.0071	0.9697
0.9997	0.9894	0.9972	1.0000
0.9975	1.0035	1.0089	0.9724
0.9989	0.9990	1.0021	0.9992
0.9996	1.0019	1.0010	1.0015
1.0009	1.0165	1.0022	1.0179
0.9982	0.9978	1.0018	0.9988
1.0014	1.0654	1.0033	1.0045
1.0017	0.9998	0.9998	0.9995
0.9996	1.0020	1.0006	1.0008
1.0001	1.0026	1.0011	0.9970
0.9985	0.9950	0.9992	1.0000
0.9982	1.0007	0.9977	1.0008
1.0000	1.0011	1.0024	0.9998
1.0007	1.0001	1.0001	1.0023
1.0002	0.9997	0.9990	0.9996
0.9999	1.0016	1.0015	1.0016
1.0016	0.9989	0.9989	0.9998
1.0009	1.0003	0.9999	1.0009
1.0009	0.9992	1.0019	1.0025
1.0006	0.9983	1.0010	0.9991
1.0007	1.0009	0.9998	0.9978
1.0005	0.9972	1.0015	0.9945
1.0038	1.0013	0.9996	0.9999
1.0004	1.0001	0.9920	1.0374
0.9990	1.0015	0.9866	0.9996
1.0010	1.0009	0.9988	1.0013
0.9985	1.0022	1.0034	1.0026
1.0000	1.0127	1.0009	1.0115
1.0071	1.0001	0.9998	0.9996
0.9972	0.9998	0.9988	0.9989
1.0089	0.9991	1.0004	0.9997
1.0021	0.9980	0.9986	1.0011
1.0010	1.0031	0.9999	1.0003
1.0022	1.0033	1.0013	0.9991
1.0018	1.0009	0.9949	0.9992
1.0033	0.9990	0.9903	1.0013
0.9998	0.9982	0.9993	1.0015
1.0006	1.0002	1.0366	1.0002
1.0011	1.0001	0.9890	0.9993
0.9992	0.9986	1.0019	1.0003
0.9977	0.9994	0.9996	1.0027
1.0024	1.0018	1.0006	1.0010
1.0001	1.0003	1.0026	1.0000
0.9990	0.9976	0.9983	1.0005
1.0015	1.0166	0.9989	1.0024
1.0012	0.9997	1.0077	0.9997
0.9988	1.0009	0.9998	1.0000
0.9989	1.0003	0.9998	1.0004
0.9999	1.0014	0.9992	1.0004
1.0019	1.0006	1.0014	0.9992
1.0038	1.0020	1.0002	1.0008
1.0010	1.0004	1.0016	1.0008
0.9998	1.0004	1.0023	1.0013
0.9998	1.0014	1.0006	0.9945
1.0015	1.0056	1.0008	1.0007
0.9996	1.0011	1.0012	1.0010
0.9920	1.0006	1.0028	1.0007
0.9866	0.9986	1.0006	0.9992
0.9988	0.9996	1.0244	1.0024
1.0034	0.9998	1.0073	1.0003
1.0009	1.0009	1.0012	1.0015
0.9998	0.9998	1.0011	1.0005
0.9988	1.0002	1.0008	1.0007
1.0004	0.9997	1.0059	1.0006
0.9986	1.0057	0.9996	1.0006
0.9999	1.0008	1.0224	0.9995
1.0013	0.9999	0.9971	1.0022
0.9949	1.0046	1.0001	0.9997
0.9903	0.9990	0.9997	1.0008
0.9993	1.0011	1.0014	1.0431
1.0366	1.0102	0.9997	1.0089
0.9890	1.0007	1.0051	1.0119
1.0019	1.0006	1.0003	0.9995
0.9996	1.0002	0.9984	1.0021
1.0006	1.0066	1.0005	0.9942
1.0026	1.0863	1.0073	0.9993
0.9983	0.9995	0.9994	1.0008
0.9989	1.0001	1.0005	0.9937
1.0077	0.9990	0.9995	1.0003
0.9998	1.0012	1.0003	0.9997
0.9998	1.0018	0.9988	1.0008
0.9992	0.9995	1.0118	1.0006
1.0014	0.9964	1.0145	1.0003
1.0002	1.0015	1.0054	0.9996
1.0016	1.0001	1.0121	1.0002
1.0028	1.0004	0.9997	0.9997
1.0023	1.0026	1.0027	0.9994
1.0006	1.0048	0.9990	0.9978
1.0008	0.9969	1.0014	1.0005
1.0012	1.0014	1.0003	0.9994
1.0028	1.0018	0.9977	0.9993
1.0006	1.0005	0.9986	1.0004
1.0244	1.0008	0.9983	0.9983
1.0073	1.0032	0.9986	1.0004
1.0012	0.9998	1.0014	1.0310
1.0005	1.0022	1.0029	0.9997
1.0011	1.0146	0.9987	1.0045
1.0008	0.9992	1.0043	1.0003
1.0059	1.0069	0.9998	0.9994
0.9996	1.0009	0.9983	1.0061
1.0224	0.9996	0.9969	1.0059
1.0006	0.9983	1.0211	0.9980
0.9971	1.0042	0.9971	0.9997
1.0001	0.9995	0.9997	1.0034
0.9997	1.0095	1.0007	1.0009
1.0014	1.0004	0.9984	0.9975
0.9997	1.0055	1.0044	1.0002
1.0051	1.0010	1.0182	0.9981
1.0003	0.9996	0.9999	0.9997
0.9984	0.9958	0.9993	0.9997
1.0005	0.9985	0.9984	0.9991
1.0073	0.9992	1.0002	1.0042
1.0009	1.0008	1.0010	1.0004
0.9994	1.0007	1.0013	1.0011
1.0005	1.0024	1.0000	1.0003
0.9995	1.0028	1.0005	1.0118
1.0003	1.0006	1.0002	0.9995
1.0012	1.0003	1.0007	1.0003
0.9988	0.9977	1.0047	1.0004
1.0118	1.0002	1.0052	0.9996
1.0145	1.0010	1.0002	1.0000
1.0054	0.9984	0.9934	0.9978
1.0121	0.9990	0.9927	1.0014
0.9997	1.0014	1.0018	1.0019
1.0027	0.9991	0.9995	0.9995
0.9990	1.0003	1.0001	0.9989
1.0014	1.0003	1.0000	1.0013
1.0003	0.9997	1.0013	1.0021
1.0012	0.9976	1.0011	1.0012
0.9977	0.9999	0.9993	0.9985
0.9986	1.0001	0.9987	0.9999
0.9983	1.0011	0.9995	1.0035
0.9986	0.9999	1.0009	1.0006
1.0014	0.9988	1.0025	0.9994
1.0029	0.9918	1.0135	1.0027
0.9987	0.9987	1.0010	1.0016
1.0043	1.0007	1.0021	1.0038
0.9998	0.9978	0.9977	0.9999
0.9983	1.0012	0.9955	1.0037
0.9969	1.0008	1.0006	0.9975
1.0027	1.0007	0.9993	1.0001
1.0211	0.9983	0.9895	1.0016
0.9971	1.0002	1.0001	0.9964
0.9997	0.9984	0.9991	1.0015
1.0007	1.0003	0.9994	1.0050
0.9984	1.0017	1.0010	0.9998
1.0044	1.0034	1.0014	1.0001
1.0182	1.0003	0.9994	0.9989
0.9999	1.0007	1.0024	1.0005
0.9993	1.0033	1.0859	0.9984
0.9984	1.0010	1.0016	1.0014
1.0002	1.0005	1.0053	0.9999
1.0010	0.9990	1.0005	1.0003
1.0013	0.9993	1.0021	1.0048
1.0000	1.0008	1.0011	1.0039
1.0005	0.9990	1.0012	1.0012
1.0002	0.9981	1.0008	1.0009
1.0007	1.0024	1.0002	1.0006
1.0047	1.0004	0.9994	1.0002
1.0052	1.0001	1.0017	1.0003
1.0002	1.0003	1.0012	0.9994
0.9934	1.0020	1.0015	1.0017
0.9927	0.9998	1.0003	0.9994
1.0018	0.9999	0.9995	1.0009
0.9995	1.0005	0.9983	1.0013
1.0001	0.9999	1.0173	0.9986
1.0000	1.0000	0.9997	0.9995
1.0013	0.9994	1.0119	1.0011
1.0011	1.0004	0.9997	1.0030
0.9993	1.0010	1.0128	1.0031
0.9987	0.9989	1.0011	1.0013
0.9995	1.0226	1.0008	0.9985
1.0009	1.0005	0.9993	1.0015
1.0025	0.9994	1.0019	1.0004
1.0135	0.9999	1.0047	1.0008
1.0010	1.0015	1.0024	1.0002
1.0021	1.0010	1.0001	1.0019
0.9977	0.9995	0.9992	0.9996
0.9955	0.9980	1.0011	0.9982
1.0006	1.0165	1.0031	1.0013
0.9993	1.0023	1.0019	1.0004
0.9895	1.0075	0.9995	0.9946
1.0001	0.9991	0.9995	0.9993
0.9991	0.9995	1.0014	1.0019
0.9994	0.9996	0.9999	1.0002
1.0010	1.0003	1.0008	0.9976
1.0014	1.0005	1.0086	1.0000
0.9994	0.9981	1.0003	0.9977
1.0024	1.0003	0.9998	1.0006
1.0859	1.0000	0.9980	0.9997
1.0016	0.9990	1.0040	1.0017
1.0053	0.9993	0.9988	1.0036
1.1121	0.9990	1.0059	0.9991
1.0005	1.0027	1.0011	1.0002
1.0021	1.0004	1.0886	1.0031
1.0011	1.0015	1.0041	1.0004
1.0012	1.0010	1.0078	1.0006
1.0008	1.0007	1.0015	1.0003
1.0002	0.9999	0.9992	1.0046
0.9994	1.0044	1.0001	1.0047
1.0017	0.9970	1.0019	0.9990
1.0012	1.0164	1.0007	0.9993
1.0015	1.0001	1.0230	1.0027
1.0003	0.9996	1.0008	1.0009
0.9995	1.0000	0.9998	0.9922
0.9983	1.0010	0.9980	0.9936
1.0173	1.0007	1.0008	1.0003
0.9997	1.0641	1.0000	1.0032
1.0119	0.9992	1.0008	0.9991
0.9997	1.0007	1.0061	1.0022
1.0128	1.0002	1.0487	1.0006
1.0011	0.9980	1.0027	0.9994
1.0008	1.0000	1.0005	1.0002
0.9993	0.9997	1.0090	1.0003
1.0019	0.9986	0.9890	0.9985
1.0021	0.9997	1.0027	1.0036
1.0047	1.0003	0.9939	1.0145
1.0024	1.0120	0.9985	0.9994
1.0004	1.0010	1.0903	0.9969
1.0001	0.9967	0.9870	1.0018
0.9992	1.0032	1.0009	1.0001
1.0011	1.0005	0.9998	0.9984
0.9975	1.0003	1.0028	1.0006
1.0031	1.0000	1.0007	0.9800
1.0019	0.9995	1.0007	1.0009
