PeB,PeA,xA,PS
40,110,40,1
40,110,50,1
40,110,60,1
40,110,70,1
40,110,80,1
40,110,90,1
40,110,100,1
40,120,0,0
40,120,10,1
40,120,20,1
40,120,30,1
40,120,40,1
40,120,50,1
40,120,60,1
40,120,70,1
40,120,80,1
40,120,90,1
40,120,100,1
40,130,0,0
40,130,10,1
40,130,20,1
40,130,30,1
40,130,40,1
40,130,50,1
40,130,60,1
40,130,70,1
40,130,80,1
40,130,90,1
40,130,100,1
40,140,0,0
40,140,10,1
40,140,20,1
40,140,30,1
40,140,40,1
40,140,50,1
40,140,60,1
40,140,70,1
40,140,80,1
40,140,90,1
40,140,100,1
40,150,0,0
40,150,10,1
40,150,20,1
40,150,30,1
40,150,40,1
40,150,50,1
40,150,60,1
40,150,70,1
40,150,80,1
40,150,90,1
40,150,100,1
50,0,0,0
50,0,10,0
50,0,20,0
50,0,30,0
50,0,40,0
50,0,50,0
50,0,60,0
50,0,70,0
50,0,80,0
50,0,90,0
50,0,100,0
50,10,0,1
50,10,10,1
50,10,20,0
50,10,30,0
50,10,40,0
50,10,50,0
50,10,60,0
50,10,70,0
50,10,80,0
50,10,90,0
50,10,100,0
50,20,0,1
50,20,10,1
50,20,20,0
50,20,30,0
50,20,40,0
50,20,50,0
50,20,60,0
50,20,70,0
50,20,80,0
50,20,90,0
50,20,100,0
50,30,0,1
50,30,10,1
50,30,20,1
50,30,30,0
50,30,40,0
50,30,50,0
50,30,60,0
50,30,70,0
50,30,80,0
50,30,90,0
50,30,100,0
50,40,0,1
50,40,10,1
50,40,20,1
50,40,30,1
50,40,40,1
50,40,50,0
50,40,60,0
50,40,70,0
50,40,80,0
50,40,90,0
50,40,100,0
50,50,0,1
50,50,10,1
50,50,20,1
50,50,30,1
50,50,40,1
50,50,50,1
50,50,60,1
50,50,70,1
50,50,80,1
50,50,90,1
50,50,100,1
50,60,0,1
50,60,10,1
50,60,20,1
50,60,30,1
50,60,40,1
50,60,50,1
50,60,60,1
50,60,70,1
50,60,80,1
50,60,90,1
50,60,100,1
50,70,0,1
50,70,10,1
50,70,20,1
50,70,30,1
50,70,40,1
50,70,50,1
50,70,60,1
50,70,70,1
50,70,80,1
50,70,90,1
50,70,100,1
50,80,0,1
50,80,10,1
50,80,20,1
50,80,30,1
50,80,40,1
50,80,50,1
50,80,60,1
50,80,70,1
50,80,80,1
50,80,90,1
50,80,100,1
50,90,0,1
50,90,10,1
50,90,20,1
50,90,30,1
50,90,40,1
50,90,50,1
50,90,60,1
50,90,70,1
50,90,80,1
50,90,90,1
50,90,100,1
50,100,0,1
50,100,10,1
50,100,20,1
50,100,30,1
50,100,40,1
50,100,50,1
50,100,60,1
50,100,70,1
50,100,80,1
50,100,90,1
50,100,100,1
50,110,0,1
50,110,10,1
50,110,20,1
50,110,30,1
50,110,40,1
50,110,50,1
50,110,60,1
50,110,70,1
50,110,80,1
50,110,90,1
50,110,100,1
50,120,0,1
50,120,10,1
50,120,20,1
50,120,30,1
50,120,40,1
50,120,50,1
50,120,60,1
50,120,70,1
50,120,80,1
50,120,90,1
50,120,100,1
50,130,0,1
50,130,10,1
50,130,20,1
50,130,30,1
50,130,40,1
50,130,50,1
50,130,60,1
50,130,70,1
50,130,80,1
50,130,90,1
50,130,100,1
50,140,0,1
50,140,10,1
50,140,20,1
50,140,30,1
50,140,40,1
50,140,50,1
50,140,60,1
50,140,70,1
50,140,80,1
50,140,90,1
50,140,100,1
50,150,0,1
50,150,10,1
50,150,20,1
50,150,30,1
50,150,40,1
50,150,50,1
50,150,60,1
50,150,70,1
50,150,80,1
50,150,90,1
50,150,100,1
60,0,0,1
60,0,10,1
60,0,20,1
60,0,30,0
60,0,40,0
60,0,50,0
60,0,60,0
60,0,70,0
60,0,80,0
60,0,90,0
60,0,100,0
60,10,0,1
60,10,10,1
60,10,20,1
60,10,30,0
60,10,40,0
60,10,50,0
60,10,60,0
60,10,70,0
60,10,80,0
60,10,90,0
60,10,100,0
60,20,0,1
60,20,10,1
60,20,20,1
60,20,30,1
60,20,40,0
60,20,50,0
60,20,60,0
60,20,70,0
60,20,80,0
60,20,90,0
60,20,100,0
60,30,0,1
60,30,10,1
60,30,20,1
60,30,30,1
60,30,40,1
60,30,50,0
60,30,60,0
60,30,70,0
60,30,80,0
60,30,90,0
60,30,100,0
60,40,0,1
60,40,10,1
60,40,20,1
60,40,30,1
60,40,40,1
60,40,50,1
60,40,60,1
60,40,70,1
60,40,80,0
60,40,90,0
60,40,100,0
60,50,0,1
60,50,10,1
60,50,20,1
60,50,30,1
60,50,40,1
60,50,50,1
60,50,60,1
60,50,70,1
60,50,80,1
60,50,90,1
60,50,100,1
60,60,0,1
60,60,10,1
60,60,20,1
60,60,30,1
60,60,40,1
60,60,50,1
60,60,60,1
