 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
25600000.00   23646      23342      46988       1354       1658       3012       254        305        559        200       1.0039     1.0030     1.0013     1.0043      0.60     197.8326   237.3603   435.1929  1053.6619  1289.6913  2343.3531   65449.85 
26000000.00   23398      23187      46585       1602       1813       3415       304        345        649        189       1.0031     1.0002     1.0031     1.0016      0.60     236.4955   267.9788   504.4743  1246.2775  1409.6478  2655.9253   65449.85 
26400000.00   23976      23742      47718       1024       1258       2282       287        360        647        190       1.0008     1.0008     1.0026     1.0008      0.60     223.2938   279.6910   502.9848   796.0767   978.4377  1774.5144   65449.85 
26800000.00   23375      23110      46485       1625       1890       3515       279        348        627        195       1.0038     1.0022     1.0028     1.0026      0.60     216.9615   270.4952   487.4567  1264.5554  1470.3154  2734.8708   65449.85 
27200000.00   23621      23434      47055       1379       1566       2945       255        308        563        196       1.0015     1.0033     0.9987     1.0010      0.60     198.4537   239.4174   437.8711  1072.6057  1218.3408  2290.9465   65449.85 
27600000.00   23753      23517      47270       1247       1483       2730       232        263        495        182       1.0004     1.0027     1.0004     1.0003      0.60     180.4001   204.4057   384.8059   970.6308  1153.2461  2123.8769   65449.85 
28000000.00   23584      23372      46956       1416       1628       3044       182        191        373        169       1.0017     1.0078     1.0023     1.0017      0.60     141.5733   148.5614   290.1347  1101.6030  1266.5878  2368.1908   65449.85 
28400000.00   24277      24198      48475       723        802        1525       117        135        252        169       1.0020     1.0020     1.0002     1.0014      0.60     91.0582    104.8710   195.9291   562.7356   623.7948  1186.5304   65449.85 
28800000.00   23484      23357      46841       1516       1643       3159       192        222        414        185       1.0011     1.0019     1.0037     1.0046      0.60     149.5074   172.6407   322.1481  1179.4520  1278.7436  2458.1956   65449.85 
29200000.00   23267      22975      46242       1733       2025       3758       157        230        387        156       1.0005     1.0037     1.0005     1.0018      0.60     122.0655   178.9194   300.9850  1347.9724  1575.5018  2923.4743   65449.85 
29600000.00   23648      23494      47142       1352       1506       2858       264        338        602        190       1.0011     1.0015     1.0011     1.0001      0.60     205.4643   263.0790   468.5434  1051.9461  1171.5732  2223.5193   65449.85 
30000000.00   23451      23222      46673       1549       1778       3327       243        267        510        184       1.0031     1.0017     1.0031     1.0033      0.60     189.1438   207.4027   396.5465  1205.0590  1382.7078  2587.7668   65449.85 
30400000.00   23674      23517      47191       1326       1483       2809       258        260        518        187       1.0015     1.0041     1.0016     1.0015      0.60     200.4777   201.7965   402.2742  1030.9814  1153.1540  2184.1354   65449.85 
30800000.00   23364      23152      46516       1636       1848       3484       324        335        659        232       1.0043     1.0017     1.0043     1.0026      0.60     251.6069   260.4541   512.0610  1271.4159  1435.9673  2707.3831   65449.85 
31200000.00   23548      23400      46948       1452       1600       3052       243        253        496        218       1.0020     1.0025     1.0015     1.0020      0.60     188.6740   196.7109   385.3850  1129.2627  1244.5626  2373.8253   65449.85 
31600000.00   23943      23798      47741       1057       1202       2259       153        175        328        173       1.0018     1.0034     1.0026     1.0018      0.60     119.0084   136.2020   255.2104   822.8597   935.6745  1758.5343   65449.85 
32000000.00   23262      22967      46229       1738       2033       3771       209        270        479        163       1.0005     1.0011     1.0005     1.0002      0.60     162.7106   209.8609   372.5715  1352.3649  1581.7473  2934.1122   65449.85 
32400000.00   23564      23245      46809       1436       1755       3191       191        209        400        187       1.0026     1.0030     1.0004     0.9990      0.60     148.3579   162.4563   310.8142  1117.3301  1364.9193  2482.2494   65449.85 
32800000.00   23968      23803      47771       1032       1197       2229       317        363        680        202       1.0039     0.9998     1.0039     1.0004      0.60     246.3616   282.0794   528.4409   802.9192   930.2309  1733.1501   65449.85 
33200000.00   23370      23085      46455       1630       1915       3545       236        251        487        208       1.0002     1.0044     1.0004     1.0024      0.60     183.5837   195.4138   378.9976  1267.9926  1489.9728  2757.9654   65449.85 
33600000.00   23667      23447      47114       1333       1553       2886       128        139        267        160       1.0034     1.0005     1.0024     1.0034      0.60     99.5656    108.0485   207.6140  1036.8707  1207.8713  2244.7420   65449.85 
34000000.00   23747      23554      47301       1253       1446       2699       188        183        371        158       1.0039     1.0039     1.0004     1.0007      0.60     146.3160   142.3825   288.6986   974.5589  1124.6540  2099.2129   65449.85 
34400000.00   23631      23504      47135       1369       1496       2865       168        181        349        159       1.0023     1.0041     1.0029     1.0026      0.60     130.6599   140.7403   271.4002  1065.1458  1163.4327  2228.5785   65449.85 
34800000.00   23578      23384      46962       1422       1616       3038       163        184        347        168       1.0016     1.0085     1.0012     1.0016      0.60     126.7345   143.0217   269.7561  1106.4390  1257.1050  2363.5439   65449.85 
35200000.00   23925      23706      47631       1075       1294       2369        96        105        201        148       0.9997     1.0013     1.0021     0.9987      0.60     74.7358    81.7519    156.4876   836.9404  1006.7552  1843.6956   65449.85 
35600000.00   23498      23338      46836       1502       1662       3164       180        181        361        197       1.0041     1.0003     1.0026     1.0022      0.60     140.0224   140.7828   280.8052  1167.8174  1291.5655  2459.3829   65449.85 
36000000.00   23611      23481      47092       1389       1519       2908       159        164        323        161       1.0018     1.0021     1.0022     1.0018      0.60     123.7605   127.7522   251.5127  1081.2110  1181.9979  2263.2089   65449.85 
36400000.00   23487      23215      46702       1513       1785       3298       212        254        466        194       1.0009     1.0018     1.0013     1.0022      0.60     165.0764   197.5678   362.6443  1177.1650  1387.5635  2564.7286   65449.85 
36800000.00   23501      23227      46728       1499       1773       3272       270        302        572        172       1.0031     1.0022     1.0021     0.9996      0.60     209.8392   234.7319   444.5711  1166.4610  1379.2324  2545.6935   65449.85 
37200000.00   23522      23236      46758       1478       1764       3242       262        293        555        202       1.0015     1.0011     1.0035     1.0044      0.60     203.7065   227.6299   431.3365  1150.0675  1371.9419  2522.0094   65449.85 
37600000.00   23965      23795      47760       1035       1205       2240       177        201        378        203       1.0030     1.0045     1.0030     1.0014      0.60     137.4866   156.0567   293.5433   804.8524   936.8651  1741.7175   65449.85 
38000000.00   23727      23493      47220       1273       1507       2780       295        371        666        213       1.0022     1.0019     1.0018     1.0022      0.60     229.2396   288.6630   517.9027   990.4758  1172.3185  2162.7943   65449.85 
38400000.00   23608      23331      46939       1392       1669       3061       146        196        342        170       1.0018     1.0019     1.0021     1.0024      0.60     113.5494   152.4688   266.0181  1083.1321  1297.9846  2381.1168   65449.85 
38800000.00   23429      23240      46669       1571       1760       3331       244        300        544        185       1.0012     1.0038     1.0010     1.0020      0.60     189.6610   233.0411   422.7021  1222.2848  1368.4821  2590.7669   65449.85 
39200000.00   23714      23452      47166       1286       1548       2834       301        368        669        218       1.0029     0.9995     1.0029     1.0024      0.60     234.3417   286.2855   520.6272  1000.6091  1204.1296  2204.7387   65449.85 
39600000.00   23595      23433      47028       1405       1567       2972       150        186        336        174       0.9998     1.0023     1.0025     1.0003      0.60     116.5937   144.5385   261.1322  1093.0352  1219.1815  2312.2167   65449.85 
