 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  19.000        127288.479           940291.720             7.387              13186.354           30726409.123           2330.167           1311402.893             564.6                44318        
  19.167        127191.083           938456.223             7.378              13197.738           30816147.584           2334.957           1382173.559             593.8                44399        
  19.333        127220.175           922531.541             7.251              13278.690           30983539.678           2333.328           1284487.334             552.2                44574        
  19.500        127039.298           927872.358             7.304              13348.259           30425555.512           2279.365           1344095.509             591.6                44732        
  19.667        127241.678           924385.966             7.265              13315.372           30489141.878           2289.770           1206518.573             528.6                44624        
  19.833        127049.417           920782.372             7.247              13422.887           29923283.603           2229.273           1272012.113             572.5                44662        
  20.000        127097.482           918423.610             7.226              13355.848           30140879.523           2256.755           1315586.152             584.8                44683        
  20.167        127189.818           920031.428             7.234              13448.184           29923820.439           2225.120           1137439.878             512.8                44757        
  20.333        126921.664           915383.384             7.212              13444.389           29875088.781           2222.123           1347652.348             608.4                44842        
  20.500        127207.527           915898.415             7.200              13405.178           30432090.741           2270.174           1188559.232             525.2                44803        
  20.667        127054.476           911933.525             7.178              13441.860           30566172.476           2273.954           1277234.947             563.5                44919        
  20.833        127103.807           916375.405             7.210              13429.211           30406312.642           2264.192           1251409.447             554.5                44914        
  21.000        127101.277           920663.653             7.244              13397.589           30329341.627           2263.791           1268933.372             562.3                44826        
  21.167        127077.244           926079.229             7.288              13279.955           30834353.746           2321.872           1403091.850             606.2                44784        
  21.333        127089.893           909496.851             7.156              13362.172           31143261.200           2330.703           1324902.081             570.2                44930        
  21.500        127059.536           919466.880             7.237              13455.773           30699591.328           2281.518           1217518.421             535.3                44970        
  21.667        126981.113           912856.978             7.189              13458.303           29877711.311           2220.021           1281681.057             579.2                44751        
  21.833        126960.875           911579.034             7.180              13387.470           29523443.128           2205.304           1327549.869             603.9                44657        
  22.000        127070.920           933310.334             7.345              13290.074           30070311.518           2262.614           1367135.438             606.2                44457        
  22.167        127218.911           927145.152             7.288              13282.485           30210718.138           2274.478           1280017.731             564.6                44387        
  22.333        127326.425           951358.123             7.472              13260.982           29794297.570           2246.764           1186194.804             529.7                44246        
  22.500        127206.262           923141.201             7.257              13317.902           29362271.392           2204.722           1238180.707             563.5                44333        
  22.667        127092.423           943352.947             7.423              13301.458           29456130.563           2214.504           1330477.262             602.8                44425        
  22.833        127279.625           946120.650             7.433              13264.777           29889781.119           2253.320           1225050.012             545.5                44296        
  23.000        127250.533           935111.907             7.349              13242.009           29776443.020           2248.635           1272954.993             568.0                44322        
  23.167        127318.836           938100.325             7.368              13245.804           29505047.984           2227.502           1191027.513             536.5                44181        
  23.333        127215.116           944195.353             7.422              13305.253           29690109.253           2231.458           1248149.583             561.2                44333        
  23.500        127249.268           934066.577             7.340              13278.690           29801208.530           2244.288           1252880.145             560.1                44407        
  23.667        127121.515           913874.736             7.189              13398.854           29271427.111           2184.622           1190160.016             546.6                44527        
  23.833        127111.396           921011.143             7.246              13382.410           29125003.372           2176.365           1236846.039             570.2                44506        
  24.000        126992.497           910455.155             7.169              13362.172           29575763.530           2213.395           1324998.827             600.6                44563        
  24.167        127069.655           919797.906             7.239              13388.735           29696203.035           2217.999           1265563.233             572.5                44519        
  24.333        127083.569           920319.223             7.242              13296.399           29717337.457           2234.991           1305354.403             586.0                44481        
  24.500        127144.283           924961.467             7.275              13364.702           29858130.202           2234.104           1232185.994             553.3                44414        
