             tauB                            r                             g(r)             
           100.000                         2.435                          2.519             
           100.000                         2.440                          2.659             
           100.000                         2.445                          2.784             
           100.000                         2.451                          2.812             
           100.000                         2.456                          2.854             
           100.000                         2.461                          2.821             
           100.000                         2.466                          2.816             
           100.000                         2.472                          2.803             
           100.000                         2.477                          2.742             
           100.000                         2.482                          2.703             
           100.000                         2.487                          2.572             
           100.000                         2.492                          2.462             
           100.000                         2.498                          2.379             
           100.000                         2.503                          2.269             
           100.000                         2.508                          2.193             
           100.000                         2.513                          2.057             
           100.000                         2.519                          1.931             
           100.000                         2.524                          1.822             
           100.000                         2.529                          1.758             
           100.000                         2.534                          1.609             
           100.000                         2.540                          1.540             
           100.000                         2.545                          1.416             
           100.000                         2.550                          1.350             
           100.000                         2.555                          1.255             
           100.000                         2.561                          1.158             
           100.000                         2.566                          1.084             
           100.000                         2.571                          0.986             
           100.000                         2.576                          0.937             
           100.000                         2.582                          0.903             
           100.000                         2.587                          0.841             
           100.000                         2.592                          0.768             
           100.000                         2.597                          0.755             
           100.000                         2.603                          0.673             
           100.000                         2.608                          0.641             
           100.000                         2.613                          0.627             
           100.000                         2.618                          0.599             
           100.000                         2.623                          0.559             
           100.000                         2.629                          0.545             
           100.000                         2.634                          0.511             
           100.000                         2.639                          0.500             
           100.000                         2.644                          0.486             
           100.000                         2.650                          0.483             
           100.000                         2.655                          0.447             
           100.000                         2.660                          0.444             
           100.000                         2.665                          0.429             
           100.000                         2.671                          0.420             
           100.000                         2.676                          0.413             
           100.000                         2.681                          0.431             
           100.000                         2.686                          0.441             
           100.000                         2.692                          0.425             
           100.000                         2.697                          0.468             
           100.000                         2.702                          0.458             
           100.000                         2.707                          0.483             
           100.000                         2.713                          0.522             
           100.000                         2.718                          0.515             
           100.000                         2.723                          0.554             
           100.000                         2.728                          0.563             
           100.000                         2.734                          0.670             
           100.000                         2.739                          0.682             
           100.000                         2.744                          0.720             
           100.000                         2.749                          0.802             
           100.000                         2.755                          0.843             
           100.000                         2.760                          0.935             
           100.000                         2.765                          0.986             
           100.000                         2.770                          1.053             
           100.000                         2.775                          1.158             
           100.000                         2.781                          1.218             
           100.000                         2.786                          1.296             
           100.000                         2.791                          1.464             
           100.000                         2.796                          1.550             
           100.000                         2.802                          1.616             
