 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
4750000.00   31793        0        31793      18207        0        18207      17967        0        17967       6069      0.7913     0.7913     0.0000     0.0000      0.39    8573.9691    0.0000   8573.9691  8721.8228    0.0000   8721.8228   78539.82 
4800000.00   31323        0        31323      18677        0        18677      18418        0        18418       6225      0.7848     0.7848     0.0000     0.0000      0.38    8788.9712    0.0000   8788.9712  8949.3741    0.0000   8949.3741   78539.82 
4850000.00   30330        0        30330      19670        0        19670      18953        0        18953       2810      0.7896     0.7896     0.0000     0.0000      0.38    9057.2186    0.0000   9057.2186  9499.2345    0.0000   9499.2345   78539.82 
4900000.00   30500        0        30500      19500        0        19500      19374        0        19374       9750      0.7842     0.7842     0.0000     0.0000      0.38    9239.8795    0.0000   9239.8795  9317.9789    0.0000   9317.9789   78539.82 
4950000.00   30002        0        30002      19998        0        19998      19998        0        19998      19998      0.7863     0.7863     0.0000     0.0000      0.38    9545.0528    0.0000   9545.0528  9545.0528    0.0000   9545.0528   78539.82 
5000000.00   29389        0        29389      20611        0        20611      20509        0        20509      10305      0.7844     0.7844     0.0000     0.0000      0.38    9769.7961    0.0000   9769.7961  9833.4554    0.0000   9833.4554   78539.82 
5050000.00   29018        0        29018      20982        0        20982      20982        0        20982      20982      0.7796     0.7796     0.0000     0.0000      0.38    9993.2386    0.0000   9993.2386  9993.2386    0.0000   9993.2386   78539.82 
5100000.00   28427        0        28427      21573        0        21573      21464        0        21464      10786      0.7866     0.7866     0.0000     0.0000      0.38    10212.2858   0.0000   10212.2858 10279.0054   0.0000   10279.0054  78539.82 
5150000.00   27929        0        27929      22071        0        22071      22071        0        22071      22071      0.7827     0.7827     0.0000     0.0000      0.38    10532.8714   0.0000   10532.8714 10532.8714   0.0000   10532.8714  78539.82 
5200000.00   27317        0        27317      22683        0        22683      22574        0        22574      11341      0.7817     0.7817     0.0000     0.0000      0.38    10738.6116   0.0000   10738.6116 10806.0493   0.0000   10806.0493  78539.82 
5250000.00   26899        0        26899      23101        0        23101      23000        0        23000      11550      0.7823     0.7823     0.0000     0.0000      0.38    10922.5779   0.0000   10922.5779 10984.5774   0.0000   10984.5774  78539.82 
5300000.00   26496        0        26496      23504        0        23504      23504        0        23504      23504      0.7835     0.7835     0.0000     0.0000      0.37    11153.7712   0.0000   11153.7712 11153.7712   0.0000   11153.7712  78539.82 
5350000.00   26013        0        26013      23987        0        23987      23987        0        23987      23987      0.7818     0.7818     0.0000     0.0000      0.37    11397.3652   0.0000   11397.3652 11397.3652   0.0000   11397.3652  78539.82 
5400000.00   25470        0        25470      24530        0        24530      24530        0        24530      24530      0.7811     0.7811     0.0000     0.0000      0.37    11668.6265   0.0000   11668.6265 11668.6265   0.0000   11668.6265  78539.82 
5450000.00   24936        0        24936      25064        0        25064      25064        0        25064      25064      0.7763     0.7763     0.0000     0.0000      0.37    11922.8948   0.0000   11922.8948 11922.8948   0.0000   11922.8948  78539.82 
5500000.00   24436        0        24436      25564        0        25564      25564        0        25564      25564      0.7796     0.7796     0.0000     0.0000      0.37    12185.4122   0.0000   12185.4122 12185.4122   0.0000   12185.4122  78539.82 
5550000.00   23993        0        23993      26007        0        26007      26007        0        26007      26007      0.7823     0.7823     0.0000     0.0000      0.37    12391.4365   0.0000   12391.4365 12391.4365   0.0000   12391.4365  78539.82 
5600000.00   23494        0        23494      26506        0        26506      26506        0        26506      26506      0.7862     0.7862     0.0000     0.0000      0.37    12628.8661   0.0000   12628.8661 12628.8661   0.0000   12628.8661  78539.82 
5650000.00   23037        0        23037      26963        0        26963      26963        0        26963      26963      0.7906     0.7906     0.0000     0.0000      0.37    12828.6306   0.0000   12828.6306 12828.6306   0.0000   12828.6306  78539.82 
5700000.00   22510        0        22510      27490        0        27490      27490        0        27490      27490      0.7852     0.7852     0.0000     0.0000      0.37    13089.3705   0.0000   13089.3705 13089.3705   0.0000   13089.3705  78539.82 
5750000.00   22043        0        22043      27957        0        27957      27957        0        27957      27957      0.7858     0.7858     0.0000     0.0000      0.37    13312.3282   0.0000   13312.3282 13312.3282   0.0000   13312.3282  78539.82 
5800000.00   21605        0        21605      28395        0        28395      28395        0        28395      28395      0.7867     0.7867     0.0000     0.0000      0.37    13529.2955   0.0000   13529.2955 13529.2955   0.0000   13529.2955  78539.82 
5850000.00   21051        0        21051      28949        0        28949      28949        0        28949      28949      0.7860     0.7860     0.0000     0.0000      0.36    13804.7967   0.0000   13804.7967 13804.7967   0.0000   13804.7967  78539.82 
5900000.00   20598        0        20598      29402        0        29402      29402        0        29402      29402      0.7878     0.7878     0.0000     0.0000      0.36    14021.7427   0.0000   14021.7427 14021.7427   0.0000   14021.7427  78539.82 
5950000.00   20098        0        20098      29902        0        29902      29902        0        29902      29902      0.7897     0.7897     0.0000     0.0000      0.36    14244.6878   0.0000   14244.6878 14244.6878   0.0000   14244.6878  78539.82 
6000000.00   19704        0        19704      30296        0        30296      30296        0        30296      30296      0.7851     0.7851     0.0000     0.0000      0.36    14429.8237   0.0000   14429.8237 14429.8237   0.0000   14429.8237  78539.82 
6050000.00   19287        0        19287      30713        0        30713      30713        0        30713      30713      0.7858     0.7858     0.0000     0.0000      0.36    14639.4843   0.0000   14639.4843 14639.4843   0.0000   14639.4843  78539.82 
6100000.00   18878        0        18878      31122        0        31122      31122        0        31122      31122      0.7843     0.7843     0.0000     0.0000      0.36    14825.3556   0.0000   14825.3556 14825.3556   0.0000   14825.3556  78539.82 
6150000.00   18394        0        18394      31606        0        31606      31606        0        31606      31606      0.7882     0.7882     0.0000     0.0000      0.36    15071.9708   0.0000   15071.9708 15071.9708   0.0000   15071.9708  78539.82 
6200000.00   17937        0        17937      32063        0        32063      32063        0        32063      32063      0.7873     0.7873     0.0000     0.0000      0.36    15308.6740   0.0000   15308.6740 15308.6740   0.0000   15308.6740  78539.82 
6250000.00   17564        0        17564      32436        0        32436      32436        0        32436      32436      0.7856     0.7856     0.0000     0.0000      0.36    15518.5518   0.0000   15518.5518 15518.5518   0.0000   15518.5518  78539.82 
6300000.00   17175        0        17175      32825        0        32825      32825        0        32825      32825      0.7896     0.7896     0.0000     0.0000      0.36    15727.1506   0.0000   15727.1506 15727.1506   0.0000   15727.1506  78539.82 
6350000.00   16810        0        16810      33190        0        33190      33190        0        33190      33190      0.7874     0.7874     0.0000     0.0000      0.36    15892.3129   0.0000   15892.3129 15892.3129   0.0000   15892.3129  78539.82 
6400000.00   16441        0        16441      33559        0        33559      33559        0        33559      33559      0.7953     0.7953     0.0000     0.0000      0.36    16094.6611   0.0000   16094.6611 16094.6611   0.0000   16094.6611  78539.82 
6450000.00   16114        0        16114      33886        0        33886      33886        0        33886      33886      0.7888     0.7888     0.0000     0.0000      0.35    16273.4367   0.0000   16273.4367 16273.4367   0.0000   16273.4367  78539.82 
6500000.00   15732        0        15732      34268        0        34268      34268        0        34268      34268      0.7967     0.7967     0.0000     0.0000      0.35    16494.4675   0.0000   16494.4675 16494.4675   0.0000   16494.4675  78539.82 
6550000.00   15395        0        15395      34605        0        34605      34605        0        34605      34605      0.7957     0.7957     0.0000     0.0000      0.35    16676.0693   0.0000   16676.0693 16676.0693   0.0000   16676.0693  78539.82 
6600000.00   15021        0        15021      34979        0        34979      34979        0        34979      34979      0.7977     0.7977     0.0000     0.0000      0.35    16882.7208   0.0000   16882.7208 16882.7208   0.0000   16882.7208  78539.82 
6650000.00   14761        0        14761      35239        0        35239      35239        0        35239      35239      0.7921     0.7921     0.0000     0.0000      0.35    17023.8486   0.0000   17023.8486 17023.8486   0.0000   17023.8486  78539.82 
6700000.00   14369        0        14369      35631        0        35631      35631        0        35631      35631      0.7999     0.7999     0.0000     0.0000      0.35    17230.0924   0.0000   17230.0924 17230.0924   0.0000   17230.0924  78539.82 
6750000.00   14004        0        14004      35996        0        35996      35996        0        35996      35996      0.7942     0.7942     0.0000     0.0000      0.35    17416.0346   0.0000   17416.0346 17416.0346   0.0000   17416.0346  78539.82 
6800000.00   13668        0        13668      36332        0        36332      36332        0        36332      36332      0.7963     0.7963     0.0000     0.0000      0.35    17581.6291   0.0000   17581.6291 17581.6291   0.0000   17581.6291  78539.82 
