 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  173.3      248808    1000000     28965      665230      9126      538434       70       395821       2        391731       2        391731       2        391731       1        388320       1        388320       1        388320  
  175.0      248776    1000000     28984      665133      9003      537793       79       396954       2        392328       2        392328       2        392328       1        389105       1        389105       1        389105  
  176.7      249509    1000000     28859      664235      9021      537903       78       397505       4        393027       2        392789       2        392789       1        389749       1        389749       1        389749  
  178.3      249676    1000000     28963      663792      8889      535847       68       397045       3        393188       2        393067       2        393067       1        390201       1        390201       1        390201  
  180.0      249118    1000000     28892      664749      8859      537222       81       398527       3        393942       2        393840       2        393840       1        391125       1        391125       1        391125  
  181.7      250105    1000000     28673      662606      8754      535697       56       397860       2        394766       2        394766       2        394766       1        392160       1        392160       1        392160  
  183.3      249470    1000000     28699      664091      8768      536885       59       399768       2        396438       2        396438       2        396438       1        393920       1        393920       1        393920  
  185.0      249063    1000000     28357      663881      8877      539704       63       401383       4        397870       2        397650       2        397650       1        395385       1        395385       1        395385  
  186.7      249350    1000000     28355      663294      8646      537908       72       403029       2        398828       2        398828       2        398828       1        396755       1        396755       1        396755  
  188.3      248879    1000000     28336      664612      8788      540087       49       402941       4        400180       2        399941       2        399941       1        398052       1        398052       1        398052  
  190.0      248772    1000000     28230      663861      8610      538892       65       405247       2        401340       2        401340       2        401340       1        399716       1        399716       1        399716  
  191.7      249009    1000000     28173      664479      8601      539645       51       405488       3        402600       2        402496       2        402496       1        401068       1        401068       1        401068  
  193.3      248669    1000000     28263      665147      8666      540409       57       406516       2        403263       2        403263       2        403263       1        402106       1        402106       1        402106  
  195.0      248614    1000000     28274      664601      8505      538687       70       408107       3        404315       2        404189       1        403205       1        403205       1        403205       1        403205  
  196.7      248962    1000000     28080      663961      8475      539204       68       409452       2        405496       2        405496       1        404746       1        404746       1        404746       1        404746  
  198.3      248099    1000000     27940      665237      8427      541004       54       409925       2        406854       1        406390       1        406390       1        406390       1        406390       1        406390  
  200.0      249004    1000000     27929      664582      8393      540436       66       411604       3        407861       1        407637       1        407637       1        407637       1        407637       1        407637  
  201.7      249074    1000000     27812      663415      8284      539449       45       411435       3        408807       2        408704       2        408704       2        408704       2        408704       2        408704  
  203.3      248795    1000000     27743      663614      8251      539528       46       412331       2        409629       1        409514       1        409514       1        409514       1        409514       1        409514  
  205.0      248564    1000000     27754      664686      8191      540258       49       413503       1        410575       1        410575       1        410575       1        410575       1        410575       1        410575  
  206.7      248791    1000000     27411      663914      8228      541990       52       414668       2        411771       1        411648       1        411648       1        411648       1        411648       1        411648  
  208.3      247893    1000000     27621      665425      8128      541841       56       416322       1        412908       1        412908       1        412908       1        412908       1        412908       1        412908  
  210.0      248767    1000000     27269      664021      8024      541732       59       417626       2        414349       1        414213       1        414213       1        414213       1        414213       1        414213  
  211.7      249340    1000000     27350      664013      7954      540983       55       418777       2        415415       1        415315       1        415315       1        415315       1        415315       1        415315  
  213.3      248367    1000000     27100      664793      8148      544374       60       420185       1        416635       1        416635       1        416635       1        416635       1        416635       1        416635  
  215.0      248560    1000000     27259      665193      7997      542819       51       420785       1        417809       1        417809       1        417809       1        417809       1        417809       1        417809  
  216.7      247911    1000000     27114      665003      8039      544197       53       421778       1        418766       1        418766       1        418766       1        418766       1        418766       1        418766  
  218.3      248386    1000000     26868      663818      7886      543298       53       423055       1        420055       1        420055       1        420055       1        420055       1        420055       1        420055  
  220.0      248047    1000000     26994      665418      7812      543794       35       423565       1        421598       1        421598       1        421598       1        421598       1        421598       1        421598  
  221.7      247920    1000000     27087      665448      7774      542671       38       424550       3        422502       2        422364       2        422364       2        422364       2        422364       2        422364  
  223.3      247038    1000000     26905      666082      7816      544981       41       425330       4        423162       2        422937       2        422937       2        422937       2        422937       2        422937  
  225.0      248237    1000000     26821      664719      7729      543914       60       427319       3        423971       1        423766       1        423766       1        423766       1        423766       1        423766  
  226.7      248154    1000000     26798      664826      7662      543371       55       427712       1        424532       1        424532       1        424532       1        424532       1        424532       1        424532  
  228.3      247895    1000000     26714      664199      7662      543167       31       426872       1        425135       1        425135       1        425135       1        425135       1        425135       1        425135  
  230.0      248473    1000000     26422      663340      7642      544003       33       428159       2        426252       2        426252       2        426252       2        426252       2        426252       2        426252  
  231.7      247932    1000000     26526      664398      7546      543992       31       428907       1        427142       1        427142       1        427142       1        427142       1        427142       1        427142  
  233.3      247811    1000000     26479      664456      7547      544304       19       429096       1        428040       1        428040       1        428040       1        428040       1        428040       1        428040  
