             TauR                           MSD              
            69.166                     240508.652491         
            69.333                     241236.008285         
            69.500                     241967.190992         
            69.666                     242700.933618         
            69.833                     243434.982249         
            70.000                     244165.343545         
            70.166                     244888.615997         
            70.333                     245611.597031         
            70.500                     246339.823222         
            70.666                     247069.802470         
            70.833                     247805.367463         
            71.000                     248543.533699         
            71.166                     249280.440440         
            71.333                     250015.783427         
            71.500                     250746.672933         
            71.666                     251472.643291         
            71.833                     252194.148942         
            72.000                     252915.104989         
            72.166                     253635.470816         
            72.333                     254360.818523         
            72.500                     255094.001029         
            72.666                     255833.968271         
            72.833                     256571.838807         
            73.000                     257308.613084         
            73.166                     258045.634710         
            73.333                     258780.341414         
            73.500                     259515.559632         
            73.666                     260251.406838         
            73.833                     260983.722213         
            74.000                     261702.917922         
            74.166                     262410.396836         
            74.333                     263109.863983         
            74.500                     263800.392302         
            74.666                     264484.139486         
            74.833                     265166.250590         
            75.000                     265847.171093         
            75.166                     266527.273842         
            75.333                     267202.103088         
            75.500                     267872.173820         
            75.666                     268538.289465         
            75.833                     269202.955163         
            76.000                     269863.916364         
            76.166                     270524.041458         
            76.333                     271185.419427         
            76.500                     271849.729909         
            76.666                     272519.762788         
            76.833                     273194.664461         
            77.000                     273873.781269         
            77.166                     274561.389012         
            77.333                     275256.985970         
            77.500                     275958.787104         
            77.666                     276663.457309         
            77.833                     277370.687407         
            78.000                     278077.015371         
            78.166                     278778.003481         
            78.333                     279469.047383         
            78.500                     280152.217179         
            78.666                     280831.954224         
            78.833                     281512.608982         
            79.000                     282194.445284         
            79.166                     282877.338094         
            79.333                     283554.953805         
            79.500                     284229.708393         
            79.666                     284905.517923         
            79.833                     285580.519981         
            80.000                     286255.607035         
            80.166                     286932.404485         
            80.333                     287606.564927         
            80.500                     288279.874521         
            80.666                     288954.618630         
            80.833                     289626.587150         
            81.000                     290294.982194         
            81.166                     290962.722242         
            81.333                     291627.356417         
            81.500                     292292.430626         
            81.666                     292958.222987         
            81.833                     293627.950891         
            82.000                     294295.499921         
            82.166                     294961.407176         
            82.333                     295627.495062         
            82.500                     296292.754575         
            82.666                     296959.919835         
            82.833                     297628.726289         
            83.000                     298299.209084         
            83.166                     298973.333915         
            83.333                     299645.402952         
            83.500                     300315.797613         
            83.666                     300988.830913         
            83.833                     301662.094510         
            84.000                     302332.597995         
            84.166                     302999.844095         
            84.333                     303664.988006         
            84.500                     304329.182899         
            84.666                     304991.455202         
            84.833                     305659.700376         
            85.000                     306333.816656         
            85.166                     307012.401019         
            85.333                     307695.495970         
            85.500                     308379.623376         
            85.666                     309062.676205         
            85.833                     309742.233167         
            86.000                     310419.929419         
            86.166                     311098.062557         
            86.333                     311781.125357         
            86.500                     312470.132118         
            86.666                     313161.785259         
            86.833                     313853.720406         
            87.000                     314544.673419         
            87.166                     315239.438407         
            87.333                     315943.132459         
            87.500                     316652.586505         
            87.666                     317367.994612         
            87.833                     318091.863305         
            88.000                     318823.182033         
            88.166                     319561.370154         
            88.333                     320303.817307         
            88.500                     321052.320795         
            88.666                     321804.137455         
            88.833                     322553.883643         
            89.000                     323304.748178         
            89.166                     324059.868949         
            89.333                     324814.717367         
            89.500                     325569.933900         
            89.666                     326329.033813         
            89.833                     327096.218816         
            90.000                     327872.487608         
            90.166                     328651.390250         
            90.333                     329432.761199         
            90.500                     330215.373220         
            90.666                     330998.812523         
            90.833                     331786.625487         
            91.000                     332575.481724         
            91.166                     333364.971092         
            91.333                     334156.484847         
            91.500                     334951.886093         
            91.666                     335748.450818         
            91.833                     336548.501995         
            92.000                     337353.600103         
            92.166                     338166.287869         
            92.333                     338983.552587         
            92.500                     339801.174488         
            92.666                     340615.880552         
            92.833                     341431.268138         
            93.000                     342249.216724         
            93.166                     343067.053619         
            93.333                     343882.192080         
