 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   49.6      15010      100000       2        79224   
   49.7      15001      100000       2        79286   
   49.8      15047      100000       3        79215   
   49.9      15137      100000       3        78971   
   50.0      15225      100000       3        78950   
   50.1      15224      100000       2        78999   
   50.2      15126      100000       2        79123   
   50.3      15058      100000       3        79162   
   50.4      15037      100000       2        79160   
   50.5      15168      100000       2        79255   
   50.6      14903      100000       3        79335   
   50.7      14967      100000       3        79561   
   50.8      14730      100000       2        79690   
   50.9      14711      100000       2        79769   
   51.0      14788      100000       2        79839   
   51.1      14813      100000       3        79842   
   51.2      14756      100000       2        79744   
   51.3      14780      100000       3        79645   
   51.4      14942      100000       2        79644   
   51.5      14851      100000       2        79557   
   51.6      14741      100000       3        79655   
   51.7      14853      100000       2        79629   
   51.8      14857      100000       2        79708   
   51.9      14981      100000       3        79637   
   52.0      14774      100000       2        79692   
   52.1      14862      100000       2        79819   
   52.2      14572      100000       2        80042   
   52.3      14721      100000       2        80038   
   52.4      14732      100000       2        80052   
   52.5      14682      100000       2        79875   
   52.6      14599      100000       2        79915   
   52.7      14826      100000       2        79818   
   52.8      14838      100000       3        79740   
   52.9      14902      100000       3        79773   
   53.0      14957      100000       2        79553   
   53.1      14917      100000       2        79563   
   53.2      14952      100000       2        79561   
   53.3      14872      100000       2        79613   
   53.4      14915      100000       2        79513   
   53.5      14975      100000       3        79478   
   53.6      14890      100000       3        79547   
   53.7      15032      100000       2        79414   
   53.8      14864      100000       3        79390   
   53.9      15179      100000       2        79230   
   54.0      14989      100000       3        79184   
   54.1      15053      100000       2        79244   
   54.2      15080      100000       3        79148   
   54.3      15051      100000       2        79197   
   54.4      15080      100000       3        79237   
   54.5      15096      100000       2        79325   
   54.6      15047      100000       2        79245   
   54.7      14922      100000       2        79370   
   54.8      15079      100000       3        79399   
   54.9      14866      100000       3        79539   
   55.0      14847      100000       2        79570   
   55.1      14847      100000       3        79552   
   55.2      15001      100000       3        79485   
   55.3      14951      100000       3        79485   
   55.4      14921      100000       3        79531   
   55.5      15034      100000       2        79480   
   55.6      14869      100000       2        79675   
   55.7      14839      100000       2        79758   
   55.8      14846      100000       2        79738   
   55.9      14832      100000       2        79767   
   56.0      14836      100000       3        79702   
   56.1      14782      100000       2        79618   
   56.2      14890      100000       2        79645   
   56.3      14825      100000       4        79710   
   56.4      14826      100000       2        79862   
   56.5      14788      100000       2        79836   
   56.6      14654      100000       3        79803   
   56.7      14746      100000       2        79871   
   56.8      14628      100000       2        79962   
   56.9      14741      100000       2        79897   
   57.0      14797      100000       4        79699   
   57.1      14817      100000       2        79776   
   57.2      14902      100000       2        79726   
   57.3      14669      100000       2        79773   
   57.4      14785      100000       2        79766   
   57.5      14788      100000       2        79956   
   57.6      14611      100000       3        80125   
   57.7      14764      100000       2        80042   
   57.8      14802      100000       2        80020   
   57.9      14799      100000       2        79978   
   58.0      14727      100000       2        80106   
   58.1      14616      100000       2        80089   
   58.2      14520      100000       3        80044   
   58.3      14888      100000       2        79758   
   58.4      14816      100000       3        79722   
   58.5      14924      100000       2        79428   
   58.6      15006      100000       3        79218   
   58.7      15158      100000       2        79152   
   58.8      15109      100000       2        79076   
   58.9      15081      100000       2        79280   
   59.0      14958      100000       2        79421   
   59.1      14917      100000       3        79440   
   59.2      14953      100000       2        79424   
   59.3      14956      100000       2        79314   
   59.4      15050      100000       2        79232   
   59.5      14946      100000       2        79371   
   59.6      14965      100000       2        79311   
   59.7      15051      100000       2        79222   
   59.8      15022      100000       2        79149   
   59.9      15138      100000       2        79151   
   60.0      15213      100000       2        79099   
   60.1      14968      100000       3        79232   
   60.2      15098      100000       2        79038   
   60.3      15058      100000       2        79241   
   60.4      15027      100000       2        79299   
   60.5      15020      100000       2        79237   
   60.6      15163      100000       2        79094   
   60.7      15189      100000       3        79188   
   60.8      15057      100000       2        79231   
   60.9      14936      100000       3        79455   
   61.0      14912      100000       2        79395   
   61.1      14831      100000       2        79586   
   61.2      14944      100000       3        79812   
   61.3      14843      100000       2        79826   
   61.4      14728      100000       3        79962   
   61.5      14650      100000       2        79889   
   61.6      14795      100000       2        79945   
   61.7      14533      100000       2        80187   
   61.8      14500      100000       2        80352   
   61.9      14456      100000       2        80427   
   62.0      14310      100000       3        80492   
   62.1      14478      100000       2        80463   
   62.2      14417      100000       3        80484   
   62.3      14401      100000       3        80496   
   62.4      14443      100000       2        80477   
   62.5      14419      100000       2        80538   
   62.6      14601      100000       2        80368   
   62.7      14520      100000       4        80301   
   62.8      14488      100000       2        80295   
   62.9      14561      100000       2        80181   
   63.0      14510      100000       3        80121   
   63.1      14561      100000       2        80202   
   63.2      14617      100000       2        80166   
   63.3      14734      100000       3        80102   
   63.4      14578      100000       2        80106   
   63.5      14655      100000       2        80123   
   63.6      14662      100000       2        80160   
   63.7      14675      100000       2        80184   
   63.8      14659      100000       3        80178   
   63.9      14500      100000       2        80222   
   64.0      14460      100000       3        80188   
   64.1      14469      100000       3        80234   
   64.2      14772      100000       2        80094   
   64.3      14493      100000       2        80215   
   64.4      14490      100000       2        80238   
   64.5      14611      100000       2        80208   
   64.6      14455      100000       2        80286   
   64.7      14439      100000       2        80438   
   64.8      14454      100000       3        80406   
   64.9      14600      100000       2        80276   
   65.0      14491      100000       2        80419   
   65.1      14405      100000       3        80301   
   65.2      14518      100000       2        80175   
   65.3      14518      100000       2        80028   
   65.4      14736      100000       2        79866   
   65.5      14933      100000       2        79512   
   65.6      14929      100000       2        79476   
   65.7      14822      100000       2        79659   
   65.8      14996      100000       3        79592   
   65.9      14902      100000       2        79508   
   66.0      14990      100000       3        79270   
   66.1      14979      100000       3        78981   
   66.2      15195      100000       2        78805   
   66.3      15213      100000       2        78973   
   66.4      15143      100000       2        78899   
   66.5      15230      100000       3        78798   
   66.6      15211      100000       4        78786   
   66.7      15231      100000       3        78614   
   66.8      15417      100000       2        78699   
   66.9      15254      100000       2        78830   
   67.0      15209      100000       2        78767   
   67.1      15206      100000       2        78972   
   67.2      15190      100000       2        79098   
   67.3      15055      100000       2        79123   
   67.4      15081      100000       2        79128   
   67.5      15201      100000       2        79064   
   67.6      15205      100000       2        79036   
   67.7      15142      100000       3        79081   
   67.8      15126      100000       2        79093   
   67.9      15065      100000       2        79116   
   68.0      15060      100000       2        79249   
   68.1      14869      100000       3        79457   
   68.2      14917      100000       3        79574   
   68.3      14990      100000       3        79536   
   68.4      14882      100000       2        79693   
   68.5      14840      100000       2        79719   
   68.6      14917      100000       2        79501   
   68.7      15061      100000       3        79289   
   68.8      15087      100000       2        79398   
   68.9      14938      100000       2        79401   
   69.0      14941      100000       2        79517   
   69.1      15018      100000       2        79480   
   69.2      15012      100000       2        79523   
   69.3      14850      100000       2        79651   
   69.4      14922      100000       2        79632   
   69.5      15027      100000       3        79525   
   69.6      14864      100000       2        79509   
   69.7      14953      100000       2        79546   
   69.8      14995      100000       2        79464   
   69.9      14985      100000       2        79504   
   70.0      14841      100000       2        79671   
   70.1      14973      100000       2        79650   
   70.2      14864      100000       2        79581   
   70.3      14955      100000       2        79465   
   70.4      15078      100000       3        79475   
   70.5      14953      100000       4        79444   
   70.6      15090      100000       2        79443   
   70.7      14904      100000       2        79688   
   70.8      14812      100000       2        79898   
   70.9      14762      100000       2        79781   
   71.0      14683      100000       2        79896   
   71.1      14623      100000       2        79994   
   71.2      14727      100000       2        80034   
   71.3      14792      100000       2        80017   
   71.4      14729      100000       2        79953   
   71.5      14688      100000       2        80025   
   71.6      14608      100000       2        80140   
   71.7      14689      100000       2        79972   
   71.8      14801      100000       3        79675   
   71.9      14897      100000       2        79355   
   72.0      15094      100000       2        79292   
   72.1      15008      100000       2        79331   
   72.2      15149      100000       2        79244   
   72.3      14897      100000       2        79354   
   72.4      15027      100000       4        79434   
   72.5      15099      100000       3        79150   
   72.6      15161      100000       2        79111   
   72.7      14970      100000       2        79433   
   72.8      14997      100000       2        79339   
   72.9      15011      100000       2        79363   
   73.0      14955      100000       2        79439   
   73.1      14930      100000       2        79373   
   73.2      15006      100000       2        79257   
   73.3      15065      100000       2        79184   
   73.4      15132      100000       3        79142   
   73.5      14999      100000       2        79396   
   73.6      14921      100000       2        79392   
   73.7      14896      100000       2        79494   
   73.8      14890      100000       3        79634   
   73.9      14807      100000       2        79797   
   74.0      14662      100000       2        79873   
   74.1      14589      100000       2        80140   
   74.2      14567      100000       2        80140   
   74.3      14820      100000       2        79940   
   74.4      14797      100000       2        79776   
   74.5      14706      100000       2        79898   
   74.6      14626      100000       2        80030   
   74.7      14542      100000       2        80170   
   74.8      14532      100000       2        80101   
   74.9      14521      100000       2        80168   
   75.0      14722      100000       2        80144   
   75.1      14778      100000       2        79806   
   75.2      14768      100000       3        79695   
   75.3      14721      100000       2        79769   
   75.4      14666      100000       2        79985   
   75.5      14556      100000       2        80094   
   75.6      14660      100000       3        79905   
   75.7      14525      100000       2        79928   
   75.8      14680      100000       2        79960   
   75.9      14750      100000       2        79638   
