 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   59.8      27076      100000      860       39280        0          0     
   59.9      26972      100000      798       37800        0          0     
   60.0      27154      100000      805       36551        0          0     
   60.1      27098      100000      802       36663        0          0     
   60.2      27305      100000      802       36070        0          0     
   60.3      27259      100000      800       36944        0          0     
   60.4      27184      100000      832       36505        0          0     
   60.5      27135      100000      835       37452        0          0     
   60.6      27471      100000      814       36728        0          0     
   60.7      26926      100000      847       37522        0          0     
   60.8      26830      100000      811       37129        0          0     
   60.9      27220      100000      827       36978        0          0     
   61.0      27254      100000      834       37397        0          0     
   61.1      27126      100000      820       36495        0          0     
   61.2      27235      100000      815       36782        0          0     
   61.3      27297      100000      799       37003        0          0     
   61.4      27039      100000      791       36718        0          0     
   61.5      27144      100000      801       36979        0          0     
   61.6      27185      100000      819       36627        0          0     
   61.7      27272      100000      817       35881        0          0     
   61.8      27321      100000      831       36309        0          0     
   61.9      27052      100000      849       38003        0          0     
   62.0      26975      100000      825       37725        0          0     
   62.1      27253      100000      821       37147        0          0     
   62.2      27224      100000      788       36963        0          0     
   62.3      27163      100000      809       37299        0          0     
   62.4      27214      100000      812       36772        0          0     
   62.5      27071      100000      831       37792        0          0     
   62.6      26982      100000      824       37714        0          0     
   62.7      27133      100000      810       37257        0          0     
   62.8      27165      100000      827       36707        0          0     
   62.9      27228      100000      806       37108        0          0     
   63.0      27253      100000      813       36178        0          0     
   63.1      27403      100000      803       36193        0          0     
   63.2      27126      100000      805       36825        0          0     
   63.3      27000      100000      802       37286        0          0     
   63.4      26993      100000      844       37644        0          0     
   63.5      27152      100000      836       37444        0          0     
   63.6      27125      100000      801       37047        0          0     
   63.7      27172      100000      789       36429        0          0     
   63.8      27101      100000      825       36982        0          0     
   63.9      26978      100000      816       37607        0          0     
   64.0      27081      100000      785       37172        0          0     
   64.1      27074      100000      820       36757        0          0     
   64.2      27116      100000      802       37701        0          0     
   64.3      27324      100000      836       36166        0          0     
   64.4      27165      100000      827       36765        0          0     
   64.5      26998      100000      798       35996        0          0     
   64.6      27018      100000      837       36889        0          0     
   64.7      27194      100000      821       36994        0          0     
   64.8      27103      100000      807       36944        0          0     
   64.9      26956      100000      857       37935        0          0     
   65.0      27364      100000      833       36787        0          0     
   65.1      27243      100000      811       36305        0          0     
