 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
3550000.00   35319        0        35319      14681        0        14681       1802        0         1802       253       0.9409     0.9409     0.0000     0.0000      0.44    1094.6622    0.0000   1094.6622  9565.3184    0.0000   9565.3184   78539.82 
3600000.00   36495        0        36495      13505        0        13505       1824        0         1824       275       0.9299     0.9299     0.0000     0.0000      0.44    1110.6874    0.0000   1110.6874  8776.0500    0.0000   8776.0500   78539.82 
3650000.00   36201        0        36201      13799        0        13799       1899        0         1899       270       0.9297     0.9297     0.0000     0.0000      0.44    1153.9486    0.0000   1153.9486  8957.3974    0.0000   8957.3974   78539.82 
3700000.00   36420        0        36420      13580        0        13580       1833        0         1833       266       0.9259     0.9259     0.0000     0.0000      0.44    1107.4869    0.0000   1107.4869  8794.4270    0.0000   8794.4270   78539.82 
3750000.00   35991        0        35991      14009        0        14009       1942        0         1942       291       0.9279     0.9279     0.0000     0.0000      0.44    1171.2116    0.0000   1171.2116  9079.2332    0.0000   9079.2332   78539.82 
3800000.00   35866        0        35866      14134        0        14134       2002        0         2002       300       0.9198     0.9198     0.0000     0.0000      0.44    1207.8361    0.0000   1207.8361  9158.2614    0.0000   9158.2614   78539.82 
3850000.00   35556        0        35556      14444        0        14444       2095        0         2095       307       0.9380     0.9380     0.0000     0.0000      0.44    1266.2367    0.0000   1266.2367  9354.5498    0.0000   9354.5498   78539.82 
3900000.00   36418        0        36418      13582        0        13582       2086        0         2086       277       0.9433     0.9433     0.0000     0.0000      0.44    1249.7321    0.0000   1249.7321  8774.2328    0.0000   8774.2328   78539.82 
3950000.00   35402        0        35402      14598        0        14598       2148        0         2148       270       0.9193     0.9193     0.0000     0.0000      0.44    1288.9254    0.0000   1288.9254  9432.8697    0.0000   9432.8697   78539.82 
4000000.00   36291        0        36291      13709        0        13709       2122        0         2122       279       0.9167     0.9167     0.0000     0.0000      0.44    1269.3772    0.0000   1269.3772  8834.8061    0.0000   8834.8061   78539.82 
4050000.00   36439        0        36439      13561        0        13561       2224        0         2224       315       0.9375     0.9375     0.0000     0.0000      0.44    1332.5989    0.0000   1332.5989  8726.9000    0.0000   8726.9000   78539.82 
4100000.00   34693        0        34693      15307        0        15307       2342        0         2342       306       0.9499     0.9499     0.0000     0.0000      0.44    1401.5862    0.0000   1401.5862  9870.8923    0.0000   9870.8923   78539.82 
4150000.00   35021        0        35021      14979        0        14979       2331        0         2331       288       0.9366     0.9366     0.0000     0.0000      0.44    1399.0330    0.0000   1399.0330  9669.6312    0.0000   9669.6312   78539.82 
4200000.00   35735        0        35735      14265        0        14265       2340        0         2340       347       0.9241     0.9241     0.0000     0.0000      0.44    1391.7015    0.0000   1391.7015  9157.9801    0.0000   9157.9801   78539.82 
4250000.00   35880        0        35880      14120        0        14120       2340        0         2340       306       0.9302     0.9302     0.0000     0.0000      0.44    1395.5562    0.0000   1395.5562  9060.0301    0.0000   9060.0301   78539.82 
4300000.00   34494        0        34494      15506        0        15506       2356        0         2356       304       0.9447     0.9447     0.0000     0.0000      0.44    1405.5573    0.0000   1405.5573  9985.7997    0.0000   9985.7997   78539.82 
4350000.00   35045        0        35045      14955        0        14955       2520        0         2520       305       0.9285     0.9285     0.0000     0.0000      0.44    1507.3610    0.0000   1507.3610  9596.2199    0.0000   9596.2199   78539.82 
4400000.00   35144        0        35144      14856        0        14856       2475        0         2475       280       0.9351     0.9351     0.0000     0.0000      0.44    1475.5756    0.0000   1475.5756  9525.3293    0.0000   9525.3293   78539.82 
